,state_name,sector_abbr,year,ann_installs,cum_installs,p,p_SE,q,q_SE,m,status,p_sig,q_sig,tech
52,manipur,ind,2018,0.363065457,2.178392744,0.071505842,0.165689416,0.7,1.069762219,0.363065457,Converged w/ bounds,FALSE,FALSE,solar
53,manipur,res,2018,0.076640449,0.459842694,0.069533862,0.002589393,0.142754605,0.010885522,0.076640449,Converged w/ bounds,TRUE,TRUE,solar
54,meghalaya,com,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
55,meghalaya,ind,2018,0.015909644,0.095457861,0.011665475,0.00205032,0.1,0.041540383,0.015909644,Converged w/ bounds,TRUE,TRUE,solar
56,meghalaya,res,2018,0.014165712,0.08499427,0.010290091,0.001868424,0.1,0.042722918,0.014165712,Converged w/ bounds,TRUE,TRUE,solar
57,mizoram,com,2018,0.015401373,0.092408238,0.011261987,0.001998556,0.1,0.041887061,0.015401373,Converged w/ bounds,TRUE,TRUE,solar
58,mizoram,ind,2018,0.181099589,1.086597533,0.071901979,0.040838732,0.566211478,0.246367737,0.181099589,Converged w/ bounds,FALSE,TRUE,solar
59,mizoram,res,2018,0.015768748,0.094612491,0.011553406,0.002036075,0.1,0.04163666,0.015768748,Converged w/ bounds,TRUE,TRUE,solar
60,nagaland,com,2018,0.010018905,0.060113427,0.007119674,0.001389619,0.1,0.045458261,0.010018905,Converged w/ bounds,TRUE,TRUE,solar
61,nagaland,ind,2018,0.094981426,0.569888557,0.079531847,0.005648206,0.209419483,0.022359639,0.094981426,Converged w/ bounds,TRUE,TRUE,solar
62,nagaland,res,2018,0.02002504,0.120150238,0.015014349,0.002429476,0.1,0.038669098,0.02002504,Converged w/ bounds,TRUE,TRUE,solar
63,nct_of_delhi,com,2018,0.011838045,0.071028269,0.00849346,0.001607389,0.100000006,0.044271246,0.011838045,Converged w/ bounds,TRUE,TRUE,solar
64,nct_of_delhi,ind,2018,0.020972776,0.125836656,0.015806713,0.002506185,0.1,0.037991021,0.020972776,Converged w/ bounds,TRUE,TRUE,solar
65,nct_of_delhi,res,2018,0.017263958,0.103583747,0.012751314,0.002183083,0.1,0.040608288,0.017263958,Converged w/ bounds,TRUE,TRUE,solar
66,odisha,com,2018,0.01610919,0.09665514,0.011824486,0.002070356,0.1,0.041403799,0.01610919,Converged w/ bounds,TRUE,TRUE,solar
67,odisha,ind,2018,0.111781547,0.67068928,0.083885091,0.010075766,0.284227586,0.041890155,0.111781547,Converged w/ bounds,TRUE,TRUE,solar
68,odisha,res,2018,0.013653501,0.081921004,0.009890944,0.001812736,0.1,0.043066503,0.013653501,Converged w/ bounds,TRUE,TRUE,solar
69,puducherry,com,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
70,puducherry,ind,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
71,puducherry,res,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
72,punjab,com,2018,0.011358283,0.068149696,0.00812861,0.001551099,0.1,0.044586177,0.011358283,Converged w/ bounds,TRUE,TRUE,solar
73,punjab,ind,2018,0.02205951,0.132357061,0.016725319,0.002588992,0.100000424,0.037205498,0.02205951,Converged w/ bounds,TRUE,TRUE,solar
74,punjab,res,2018,0.016986725,0.10192035,0.012527756,0.002156526,0.1,0.040800106,0.016986725,Converged w/ bounds,TRUE,TRUE,solar
75,rajasthan,com,2018,0.085630148,0.513780885,0.075039707,0.003876603,0.173291254,0.015582963,0.085630148,Converged w/ bounds,TRUE,TRUE,solar
76,rajasthan,ind,2018,0.113220437,0.679322621,0.084029548,0.01053177,0.29104997,0.044131959,0.113220437,Converged w/ bounds,TRUE,TRUE,solar
77,rajasthan,res,2018,0.010075744,0.060454462,0.007162193,0.0013966,0.100000009,0.045421528,0.010075744,Converged w/ bounds,TRUE,TRUE,solar
78,sikkim,com,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
79,sikkim,ind,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
80,sikkim,res,2018,0.013919806,0.083518838,0.010098194,0.001841815,0.1,0.042888081,0.013919806,Converged w/ bounds,TRUE,TRUE,solar
81,tamil_nadu,com,2018,0.010028602,0.060171615,0.007126924,0.001390811,0.1,0.045452009,0.010028602,Converged w/ bounds,TRUE,TRUE,solar
82,tamil_nadu,ind,2018,0.048236429,0.289418574,0.042407798,0.002438548,0.1,0.015175267,0.048236429,Converged w/ bounds,TRUE,TRUE,solar
83,tamil_nadu,res,2018,0.098450012,0.590700075,0.080835507,0.006427897,0.223925372,0.02551004,0.098450012,Converged w/ bounds,TRUE,TRUE,solar
84,tripura,com,2018,0.010040977,0.060245865,0.007136183,0.001392331,0.1,0.045443993,0.010040977,Converged w/ bounds,TRUE,TRUE,solar
85,tripura,ind,2018,0.012664252,0.075985514,0.009126137,0.001702362,0.100000001,0.043725476,0.012664252,Converged w/ bounds,TRUE,TRUE,solar
86,tripura,res,2018,0.010042757,0.060256541,0.007137515,0.00139255,0.1,0.045442841,0.010042757,Converged w/ bounds,TRUE,TRUE,solar
87,uttar_pradesh,com,2018,0.010039172,0.06023503,0.007134832,0.00139211,0.1,0.045445162,0.010039172,Converged w/ bounds,TRUE,TRUE,solar
88,uttar_pradesh,ind,2018,0.010019356,0.060116133,0.007120011,0.001389675,0.1,0.045457969,0.010019356,Converged w/ bounds,TRUE,TRUE,solar
89,uttar_pradesh,res,2018,0.010018638,0.06011183,0.007119475,0.001389587,0.1,0.045458433,0.010018638,Converged w/ bounds,TRUE,TRUE,solar
90,uttarakhand,com,2018,0.010021467,0.060128802,0.007121587,0.001389934,0.1,0.04545662,0.010021467,Converged w/ bounds,TRUE,TRUE,solar
91,uttarakhand,ind,2018,0.037625617,0.225753699,0.031135172,0.003063508,0.1,0.0248799,0.037625617,Converged w/ bounds,TRUE,TRUE,solar
92,uttarakhand,res,2018,0.022827411,0.136964464,0.01738087,0.00264407,0.100000001,0.036644956,0.022827411,Converged w/ bounds,TRUE,TRUE,solar
93,west_bengal,com,2018,0.010004187,0.060025121,0.00710866,0.00138781,0.1,0.045467818,0.010004187,Converged w/ bounds,TRUE,TRUE,solar
94,west_bengal,ind,2018,0.010019827,0.060118961,0.007120231,0.001389799,0.100005486,0.04546039,0.010019827,Converged w/ bounds,TRUE,TRUE,solar
95,west_bengal,res,2018,0.025059788,0.150358725,0.019317865,0.002787568,0.1,0.03498995,0.025059788,Converged w/ bounds,TRUE,TRUE,solar
