"id","year","type","value","scenario"
"p11",2046,"price",293.433593352819,"BAU"
"p11",2048,"price",182.041385567355,"BAU"
"p11",2050,"price",169.591605591469,"BAU"
"p12",2010,"price",103.552180453086,"BAU"
"p12",2012,"price",362.484718574722,"BAU"
"p12",2014,"price",353.758243324706,"BAU"
"p12",2016,"price",405.011331963492,"BAU"
"p12",2018,"price",388.247470210838,"BAU"
"p12",2020,"price",349.734751971503,"BAU"
"p12",2022,"price",315.446707003794,"BAU"
"p12",2024,"price",280.593946862562,"BAU"
"p12",2026,"price",267.654636463566,"BAU"
"p12",2028,"price",292.699536856537,"BAU"
"p12",2030,"price",299.608942681882,"BAU"
"p12",2032,"price",266.659212342916,"BAU"
"p12",2034,"price",240.857219271902,"BAU"
"p12",2036,"price",218.495503750218,"BAU"
"p12",2038,"price",198.403842684231,"BAU"
"p12",2040,"price",164.803048493733,"BAU"
"p12",2042,"price",167.610437480907,"BAU"
"p12",2044,"price",171.884050156279,"BAU"
"p12",2046,"price",192.033347391388,"BAU"
"p12",2048,"price",184.713577928889,"BAU"
"p12",2050,"price",172.834164652393,"BAU"
"p13",2010,"price",107.848934984014,"BAU"
"p13",2012,"price",339.680495435668,"BAU"
"p13",2014,"price",347.062283922051,"BAU"
"p13",2016,"price",428.10713633117,"BAU"
"p13",2018,"price",381.414883159308,"BAU"
"p13",2020,"price",369.851520808349,"BAU"
"p13",2022,"price",343.108732466401,"BAU"
"p13",2024,"price",314.461610552432,"BAU"
"p13",2026,"price",280.746109035122,"BAU"
"p13",2028,"price",254.674847300448,"BAU"
"p13",2030,"price",272.989984431943,"BAU"
"p13",2032,"price",235.683976401881,"BAU"
"p13",2034,"price",203.888478720127,"BAU"
"p13",2036,"price",197.125385720626,"BAU"
"p13",2038,"price",183.742476443375,"BAU"
"p13",2040,"price",168.142866605949,"BAU"
"p13",2042,"price",160.204379802672,"BAU"
"p13",2044,"price",158.550645969188,"BAU"
"p13",2046,"price",172.487990990202,"BAU"
"p13",2048,"price",181.033030928431,"BAU"
"p13",2050,"price",192.695420195661,"BAU"
"p14",2010,"price",85.3000924161792,"BAU"
"p14",2012,"price",118.862453028211,"BAU"
"p14",2014,"price",150.785185750309,"BAU"
"p14",2016,"price",168.40428823549,"BAU"
