state,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ID,4351.866572,4442.727536,4487.743671,4457.072219,4452.385966,4548.417802,4595.769793,4669.102137,4750.290133,4817.588988,4856.959326,4902.561848,4957.275181,5011.048357,5068.945628,5121.478183,5174.912126,5225.486824,5277.873993,5330.096392,5372.093358,5410.392692,5446.399784,5487.61167,5536.184897,5589.153607,5648.034653,5702.951526,5757.819937,5812.213423,5867.193297,5919.14639,5971.559521,6024.436761,6077.782222,6131.600048,6185.894423,6240.669566,6295.929734,6351.679223,6407.922365
IL,30304.17298,30301.12718,30180.77193,29680.69154,29764.74332,29920.52523,30137.31543,30550.26748,30899.02697,31109.87941,31121.23194,31189.67014,31354.05105,31501.71083,31707.71767,31841.57905,31985.53156,32068.82958,32142.94405,32222.35022,32248.14722,32290.05005,32320.80032,32372.91734,32455.35392,32561.83387,32690.84965,32804.12881,32908.5013,33027.36442,33143.24327,33234.1081,33325.22205,33416.5858,33508.20002,33600.06541,33692.18266,33784.55246,33877.17549,33970.05246,34063.18406
IN,19557.0911,19555.12547,19477.45304,19154.72133,19208.96495,19309.50031,19449.40797,19715.91057,19940.98588,20077.06154,20084.388,20128.55526,20234.64007,20329.93373,20462.88224,20549.27098,20642.17212,20695.92931,20743.7598,20795.00533,20811.65368,20838.69607,20858.54106,20892.17528,20945.37653,21014.09439,21097.35597,21170.46177,21237.81957,21314.52903,21389.31257,21447.95307,21506.75434,21565.71681,21624.84094,21684.12716,21743.57592,21803.18766,21862.96283,21922.90188,21983.00526
KS,8721.740371,8488.994067,8266.975806,8475.585905,8599.613293,8589.672629,8711.118321,8858.676238,9035.473183,9179.533318,9264.100888,9343.005383,9448.24166,9549.904446,9651.340103,9744.530991,9827.001405,9897.252299,9966.253984,10029.71373,10087.21514,10136.8806,10178.15745,10232.39577,10293.94007,10363.63828,10437.12197,10511.81701,10586.48935,10643.52892,10696.10163,10758.97615,10822.22025,10885.83613,10949.82595,11014.19192,11078.93625,11144.06117,11209.56891,11275.46172,11341.74186
KY,16875.27125,16792.67648,16668.52914,16446.99137,16545.50964,16604.01243,16729.68439,16958.1802,17160.86188,17294.38165,17313.53797,17360.40748,17459.74462,17553.96252,17678.21718,17767.56329,17860.85401,17925.27699,17985.97844,18049.15444,18082.70726,18122.71811,18156.47231,18202.41199,18264.61309,18340.74111,18430.23469,18514.33041,18593.69663,18676.03815,18755.21169,18824.2374,18893.59387,18963.28315,19033.3073,19103.66839,19174.36852,19245.40978,19316.7943,19388.5242,19460.60165
LA,16386.48642,15905.59107,15502.09349,15568.98994,15920.79004,15837.69339,15984.24038,16198.87716,16437.64253,16647.05775,16729.22885,16818.12335,16953.21436,17104.0981,17271.99119,17432.07232,17587.68864,17739.58526,17894.76499,18050.00876,18177.62544,18299.07753,18414.22534,18542.62787,18683.73793,18841.03656,19015.35618,19201.10267,19383.39724,19543.35031,19692.76712,19851.06012,20010.6255,20171.47348,20333.61438,20497.05859,20661.81659,20827.89893,20995.31627,21164.07932,21334.19892
MA,11684.15169,11454.39119,11410.79818,11387.81934,12122.83594,12193.83107,12427.31937,12640.16567,12734.5291,12715.33371,12598.26964,12526.32865,12500.70697,12479.61986,12485.46194,12479.39731,12489.60703,12502.45959,12503.60019,12519.01214,12516.73095,12527.60834,12525.27151,12534.1459,12546.02479,12566.27732,12592.4832,12632.59879,12657.5528,12658.30392,12663.39487,12678.15546,12692.93324,12707.72825,12722.54051,12737.37003,12752.21684,12767.08095,12781.96239,12796.86117,12811.77732
MD,15460.62384,15338.93383,15095.9276,15018.01299,14941.66693,15174.3913,15320.07705,15328.29662,15390.94757,15420.05178,15308.51079,15214.66726,15178.36616,15163.92395,15179.51626,15181.69093,15187.35272,15192.75343,15191.00769,15208.17134,15205.13542,15214.75317,15214.70948,15222.70889,15233.51163,15258.01152,15295.93564,15321.63622,15347.28836,15360.32692,15384.0411,15402.0663,15420.11614,15438.19066,15456.28992,15474.41395,15492.5628,15510.7365,15528.9351,15547.15864,15565.40717
ME,1952.909539,1914.506968,1907.220756,1903.380034,2026.231993,2038.098243,2077.123886,2112.699388,2128.471457,2125.263106,2105.696812,2093.672469,2089.390017,2085.865481,2086.841935,2085.828282,2087.534753,2089.682954,2089.873595,2092.449576,2092.068293,2093.886359,2093.495777,2094.979059,2096.964517,2100.34956,2104.729657,2111.434646,2115.605503,2115.731047,2116.581958,2119.049067,2121.519052,2123.991916,2126.467662,2128.946295,2131.427816,2133.91223,2136.399539,2138.889748,2141.382859
MI,20852.61988,20850.52403,20767.70632,20423.59575,20481.43266,20588.62783,20737.80345,21021.96009,21261.94516,21407.03494,21414.84673,21461.93978,21575.05201,21676.65826,21818.41373,21910.52515,22009.58039,22066.89863,22117.89758,22172.53779,22190.28898,22219.12276,22240.28234,22276.14462,22332.87009,22406.14006,22494.91718,22572.86575,22644.68556,22726.47653,22806.21398,22868.73903,22931.43549,22994.30385,23057.34456,23120.5581,23183.94495,23247.50557,23311.24046,23375.15008,23439.23491
