"","sector","gid","year","customer_expec_elec_rates","ownership_model","loan_term_yrs","loan_rate","down_payment","discount_rate","tax_rate","length_of_irr_analysis_yrs","market_share_last_year","number_of_adopters_last_year","installed_capacity_last_year","market_value_last_year","value_of_increment","value_of_pbi_fit","value_of_ptc","pbi_fit_length","ptc_length","value_of_rebate","value_of_tax_credit_or_deduction","cap","ic","aep","payback_period","lcoe","payback_key","max_market_share","diffusion_market_share","new_market_share","new_adopters","new_capacity","new_market_value","market_share","number_of_adopters","installed_capacity","market_value","county_id","state_abbr","census_division_abbr","utility_type","census_region","row_number","max_height","elec_rate_cents_per_kwh","carbon_price_cents_per_kwh","cap_cost_multiplier","fixed_om_dollars_per_kw_per_yr","variable_om_dollars_per_kwh","installed_costs_dollars_per_kw","ann_cons_kwh","prob","weight","customers_in_bin","initial_customers_in_bin","load_kwh_in_bin","initial_load_kwh_in_bin","load_kwh_per_customer_in_bin","nem_system_limit_kw","excess_generation_factor","i","j","cf_bin","aep_scale_factor","derate_factor","naep","nameplate_capacity_kw","power_curve_id","turbine_height_m","scoe"
"3470","commercial",3579084,2016,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.00166895119586808,0.00101161869056512,2.66041163859303,0,19201.5319061279,0,10,0,0,0,750,1780554.68115693,768061.276245117,25.1,22.1326624973672,251,0,5.98783873375004e-06,0,0,0,0,5.98783873375004e-06,0.00166895119586808,0.00101161869056512,2.66041163859303,289,"CA","PAC","IOU","West",1,50,11.0610880769656,0,1.10127979636192,0,0.02,2374.07290820925,2431304.27773585,0.012895244911237,11500.28,284.297940455606,278.723471034908,218239699.55639,213960489.761166,767644.321329399,1000,0.50900000333786,26,121,18,1,0.85,1024.08170166016,750,3,50,0.0901682296281
"3471","commercial",3579084,2018,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.00166895119586808,0.00101161869056512,2.66041163859303,0,19201.5319061279,0,10,0,0,0,750,1741895.79569736,768061.276245117,24.5,21.6955479837168,245,5e-04,1.27984596224835e-05,6.8106208887335e-06,0.00199319388871118,1.49489541653339,3471.93605475569,1.27984596224835e-05,0.00366214508457926,1.49590703522395,3474.59646639428,289,"CA","PAC","IOU","West",1,50,10.8755894558537,0,1.10127979636192,0,0.02,2322.52772759648,2431304.27773585,0.012895244911237,11500.28,292.659644586653,278.723471034908,224658514.249225,213960489.761166,767644.321329399,1000,0.50900000333786,26,121,18,1,0.85,1024.08170166016,750,3,50,0.088644757431
"3472","commercial",3579084,2020,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,1.27984596224835e-05,0.00366214508457926,1.49590703522395,3474.59646639428,0,15531.646270752,0,10,0,0,0,500,1698849.28818575,621265.850830078,30,25.7475678630607,300,0,1.27984596224835e-05,0,0,0,0,1.27984596224835e-05,0.00366214508457926,1.49590703522395,3474.59646639428,289,"CA","PAC","IOU","West",1,50,10.638033606865,0,1.10127979636192,0,0.02,3397.6985763715,2431304.27773585,0.012895244911237,11500.28,298.234114007352,278.723471034908,228937724.044448,213960489.761166,767644.321329399,1000,0.504000008106232,26,121,18,1,0.85,1242.53170166016,500,5,50,0.102767234346
"3473","commercial",3579386,2014,1,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.000721475840653115,0.000437315630920082,0.948914829991518,0,30123.978729248,0,10,0,0,0,1000,2169862.59556985,1204959.14916992,30,17.6387370361408,300,0,5.98783873375004e-06,0,0,0,0,5.98783873375004e-06,0.000721475840653115,0.000437315630920082,0.948914829991518,289,"CA","PAC","IOU","West",2,50,11.2518004393962,0,1.10127979636192,0,0.02,2169.86259556985,10425774.7671945,0.00557452350062481,4971.49,120.490192327086,120.490192327086,396625619.45401,396625619.45401,3291766.83839395,1000,0.504999995231628,26,121,21,1,0.85,1204.95914916992,1000,3,50,0.0745055822392
"3474","commercial",3579386,2016,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.000721475840653115,0.000437315630920082,0.948914829991518,0,30123.978729248,0,10,0,0,0,1000,2122617.69230593,1204959.14916992,9.2,17.2982313193498,92,0.0516,0.000249698812089547,0.000243710973355797,0.0299520776928985,29.9520776928985,63576.810032268,0.000249698812089547,0.0306735535335516,29.9525150085294,63577.758947098,289,"CA","PAC","IOU","West",2,50,11.0610880769656,0,1.10127979636192,0,0.02,2122.61769230593,10425774.7671945,0.00557452350062481,4971.49,122.899996173627,120.490192327086,404558131.84309,396625619.45401,3291766.83839395,1000,0.504999995231628,26,121,21,1,0.85,1204.95914916992,1000,3,50,0.073318820015
"3475","commercial",3579386,2018,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,0.000249698812089547,0.0306735535335516,29.9525150085294,63577.758947098,0,30123.978729248,0,10,0,0,0,1000,2076317.68710728,1204959.14916992,9.1,16.9645357168947,91,0.0558,0.000804987367562599,0.000555288555473052,0.0702521660882764,70.2521660882764,145865.815006687,0.000804987367562599,0.100925719621828,100.204681096806,209443.573953785,289,"CA","PAC","IOU","West",2,50,10.8755894558537,0,1.10127979636192,0,0.02,2076.31768710728,10425774.7671945,0.00557452350062481,4971.49,126.51470194344,120.490192327086,416456900.42671,396625619.45401,3291766.83839395,1000,0.504999995231628,26,121,21,1,0.85,1204.95914916992,1000,3,50,0.0721557930352
"3476","commercial",3579386,2020,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,0.000804987367562599,0.100925719621828,100.204681096806,209443.573953785,0,36245.4650878906,0,10,0,0,0,1000,2030943.68201261,1449818.60351562,5.7,14.1653884179383,57,0.208,0.00272526198871116,0.00192027462114856,0.247570456512623,247.570456512623,502801.654507288,0.00272526198871116,0.348496176134451,347.775137609428,712245.228461072,289,"CA","PAC","IOU","West",2,50,10.638033606865,0,1.10127979636192,0,0.02,2030.94368201261,10425774.7671945,0.00557452350062481,4971.49,128.924505789982,120.490192327086,424389412.815791,396625619.45401,3291766.83839395,1000,0.497999995946884,26,121,21,1,0.85,1449.81860351562,1000,5,50,0.0623999442764
"3477","commercial",3579866,2014,1,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.00351442959234814,0.00213023764331546,7.69014760859201,0,9447.03807830811,0,10,0,0,0,500,1804997.58623719,377881.523132324,30,43.4822911670706,300,0,5.98783873375004e-06,0,0,0,0,5.98783873375004e-06,0.00351442959234814,0.00213023764331546,7.69014760859201,289,"CA","PAC","IOU","West",5,50,11.2518004393962,0,1.10127979636192,0,0.02,3609.99517247437,1118903.37329417,0.0271544371272377,24216.96,586.927896461089,586.927896461089,207347146.206633,207347146.206633,353275.329826445,1000,0.514999985694885,26,121,18,1,0.85,755.763046264648,500,2,50,0.164577943056
"3478","commercial",3579866,2016,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.00351442959234814,0.00213023764331546,7.69014760859201,0,9447.03807830811,0,10,0,0,0,500,1768897.63451244,377881.523132324,30,42.6526453437292,300,0,5.98783873375004e-06,0,0,0,0,5.98783873375004e-06,0.00351442959234814,0.00213023764331546,7.69014760859201,289,"CA","PAC","IOU","West",5,50,11.0610880769656,0,1.10127979636192,0,0.02,3537.79526902489,1118903.37329417,0.0271544371272377,24216.96,598.666454390311,586.927896461089,211494089.130765,207347146.206633,353275.329826445,1000,0.514999985694885,26,121,18,1,0.85,755.763046264648,500,2,50,0.161686384195
"3479","commercial",3579866,2018,1.025,"Host Owned",20,0.06,0.2,0.12,0.35,25,5.98783873375004e-06,0.00351442959234814,0.00213023764331546,7.69014760859201,0,9447.03807830811,0,10,0,0,0,500,1733519.68182219,377881.523132324,30,41.8395924368546,300,0,5.98783873375004e-06,0,0,0,0,5.98783873375004e-06,0.00351442959234814,0.00213023764331546,7.69014760859201,289,"CA","PAC","IOU","West",5,50,10.8755894558537,0,1.10127979636192,0,0.02,3467.03936364439,1118903.37329417,0.0271544371272377,24216.96,616.274291284143,586.927896461089,217714503.516964,207347146.206633,353275.329826445,1000,0.514999985694885,26,121,18,1,0.85,755.763046264648,500,2,50,0.158852656511
