country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,1,9,com,9,0,0
MEX,1,9,res,1A,0,0
MEX,1,9,res,1B,0,0
MEX,1,9,res,1C,0,0
MEX,1,9,res,1D,0,0
MEX,1,9,res,1E,0,0
MEX,1,9,res,1F,0,0
MEX,1,9,com,5A,0,0
MEX,1,9,com,9CU,0,0
MEX,1,9,com,9M,0,0
MEX,1,9,com,9N,0,0
MEX,1,9,res,DAC,0,0
MEX,1,9,ind,HM,1.007,3
MEX,1,9,ind,HMC,0,0
MEX,1,9,ind,HMCF,0,0
MEX,1,9,ind,HMF,0,0
MEX,1,9,ind,HS,0,0
MEX,1,9,ind,HSF,0,0
MEX,1,9,ind,HSL,0,0
MEX,1,9,ind,HSLF,0,0
MEX,1,9,ind,HT,0,0
MEX,1,9,ind,HTF,0,0
MEX,1,9,ind,HTL,0,0
MEX,1,9,ind,HTLF,0,0
MEX,1,9,ind,OM,0,0
MEX,1,9,ind,OMF,0,0
MEX,5,10,res,1,0.41785,56
MEX,5,10,com,2,0.37901,36
MEX,5,10,com,3,0,0
MEX,5,10,com,5,0,0
MEX,5,10,com,6,0,0
MEX,5,10,com,7,0,0
MEX,5,10,com,9,0,0
MEX,5,10,res,1A,0,0
MEX,5,10,res,1B,0,0
MEX,5,10,res,1C,0.01875,6
MEX,5,10,res,1D,0,0
MEX,5,10,res,1E,0,0
MEX,5,10,res,1F,0,0
MEX,5,10,com,5A,0,0
MEX,5,10,com,9CU,0,0
MEX,5,10,com,9M,0,0
MEX,5,10,com,9N,0,0
MEX,5,10,res,DAC,0,0
MEX,5,10,ind,HM,0.215756,6
MEX,5,10,ind,HMC,0,0
MEX,5,10,ind,HMCF,0,0
MEX,5,10,ind,HMF,0,0
MEX,5,10,ind,HS,0,0
MEX,5,10,ind,HSF,0,0
MEX,5,10,ind,HSL,0,0
MEX,5,10,ind,HSLF,0,0
MEX,5,10,ind,HT,0,0
MEX,5,10,ind,HTF,0,0
MEX,5,10,ind,HTL,0,0
MEX,5,10,ind,HTLF,0,0
MEX,5,10,ind,OM,0.375,10
MEX,5,10,ind,OMF,0,0
MEX,3,11,res,1,2.431818,672
MEX,3,11,com,2,0.401909,100
MEX,3,11,com,3,0,0
MEX,3,11,com,5,0,0
MEX,3,11,com,6,0,0
MEX,3,11,com,7,0,0
MEX,3,11,com,9,0,0
MEX,3,11,res,1A,0,0
MEX,3,11,res,1B,0,0
MEX,3,11,res,1C,0,0
MEX,3,11,res,1D,0,0
MEX,3,11,res,1E,0,0
MEX,3,11,res,1F,0,0
MEX,3,11,com,5A,0.04767,5
MEX,3,11,com,9CU,0,0
MEX,3,11,com,9M,0,0
MEX,3,11,com,9N,0,0
MEX,3,11,res,DAC,0,0
MEX,3,11,ind,HM,0.43606,4
MEX,3,11,ind,HMC,0,0
MEX,3,11,ind,HMCF,0,0
MEX,3,11,ind,HMF,0,0
MEX,3,11,ind,HS,0,0
MEX,3,11,ind,HSF,0,0
MEX,3,11,ind,HSL,0,0
MEX,3,11,ind,HSLF,0,0
MEX,3,11,ind,HT,0,0
MEX,3,11,ind,HTF,0,0
MEX,3,11,ind,HTL,0,0
MEX,3,11,ind,HTLF,0,0
MEX,3,11,ind,OM,0.7404,17
MEX,3,11,ind,OMF,0,0
MEX,2,12,res,1,0.37624,47
MEX,2,12,com,2,0.2145,24
MEX,2,12,com,3,0,0
MEX,2,12,com,5,0,0
MEX,2,12,com,6,0,0
MEX,2,12,com,7,0,0
MEX,2,12,com,9,0,0
