control_reg_id,state_id,tariff_class,sector_abbr,pv_capacity_mw,pv_systems_count
8,60,estrato_1,res,0.0,0.0
8,60,estrato_2,res,0.0,0.0
8,60,estrato_3,res,0.0,0.0
8,60,estrato_4,res,0.0,0.0
8,60,estrato_5,res,0.0,0.0
8,60,estrato_6,res,0.0,0.0
8,60,industrial,ind,0.0,0.0
8,72,comercial,com,0.0,0.0
8,72,estrato_1,res,0.0,0.0
8,72,estrato_2,res,0.0,0.0
8,72,estrato_3,res,0.0,0.0
8,72,estrato_4,res,0.0,0.0
8,72,estrato_5,res,0.0,0.0
8,73,comercial,com,0.0,0.0
8,73,estrato_1,res,0.0,0.0
8,73,estrato_2,res,0.0,0.0
8,73,estrato_3,res,0.0,0.0
8,73,estrato_4,res,0.0,0.0
8,73,estrato_5,res,0.0,0.0
8,73,estrato_6,res,0.0,0.0
8,73,industrial,ind,0.0,0.0
8,84,comercial,com,0.0,0.0
8,84,estrato_1,res,0.0,0.0
8,84,estrato_2,res,0.0,0.0
8,84,estrato_3,res,0.0,0.0
8,84,estrato_4,res,0.0,0.0
8,84,estrato_5,res,0.0,0.0
8,84,estrato_6,res,0.0,0.0
8,84,industrial,ind,0.0,0.0
8,109,comercial,com,0.0,0.0
8,109,estrato_1,res,0.0,0.0
8,109,estrato_2,res,0.0,0.0
8,109,estrato_3,res,0.0,0.0
8,109,estrato_4,res,0.0,0.0
8,109,estrato_5,res,0.0,0.0
8,109,estrato_6,res,0.0,0.0
8,109,industrial,ind,0.0,0.0
8,115,comercial,com,0.0,0.0
8,115,estrato_1,res,0.0,0.0
8,115,estrato_2,res,0.0,0.0
8,115,estrato_3,res,0.0,0.0
8,115,estrato_4,res,0.0,0.0
8,115,estrato_5,res,0.0,0.0
8,115,estrato_6,res,0.0,0.0
8,115,industrial,ind,0.0,0.0
8,135,comercial,com,0.0,0.0
8,135,estrato_1,res,0.0,0.0
8,135,estrato_2,res,0.0,0.0
8,135,estrato_3,res,0.0,0.0
8,135,estrato_4,res,0.0,0.0
8,135,estrato_5,res,0.0,0.0
8,135,estrato_6,res,0.0,0.0
8,135,industrial,ind,0.0,0.0
8,171,comercial,com,0.0,0.0
8,171,estrato_1,res,0.0,0.0
8,171,estrato_2,res,0.0,0.0
8,171,estrato_3,res,0.0,0.0
8,189,comercial,com,0.0,0.0
8,189,estrato_1,res,0.0,0.0
8,189,estrato_2,res,0.0,0.0
8,189,estrato_3,res,0.0,0.0
8,189,estrato_4,res,0.0,0.0
8,189,estrato_5,res,0.0,0.0
8,189,estrato_6,res,0.0,0.0
8,216,comercial,com,0.0,0.0
8,216,estrato_1,res,0.0,0.0
8,216,estrato_2,res,0.0,0.0
8,216,estrato_3,res,0.0,0.0
8,216,estrato_4,res,0.0,0.0
8,216,estrato_6,res,0.0,0.0
8,216,industrial,ind,0.0,0.0
8,229,comercial,com,0.0,0.0
8,229,estrato_1,res,0.0,0.0
8,229,estrato_2,res,0.0,0.0
8,229,estrato_3,res,0.0,0.0
8,229,estrato_4,res,0.0,0.0
8,229,estrato_5,res,0.0,0.0
8,229,estrato_6,res,0.0,0.0
8,279,comercial,com,0.0,0.0
8,279,estrato_1,res,0.0,0.0
8,279,estrato_2,res,0.0,0.0
8,279,estrato_3,res,0.0,0.0
8,279,estrato_4,res,0.0,0.0
8,279,estrato_5,res,0.0,0.0
8,279,estrato_6,res,0.0,0.0
8,279,industrial,ind,0.0,0.0
8,309,comercial,com,0.0,0.0
8,309,estrato_1,res,0.0,0.0
8,309,estrato_2,res,0.0,0.0
8,309,estrato_3,res,0.0,0.0
8,309,estrato_4,res,0.0,0.0
8,309,estrato_5,res,0.0,0.0
8,309,estrato_6,res,0.0,0.0
8,309,industrial,ind,0.0,0.0
8,311,comercial,com,0.0,0.0
8,311,estrato_1,res,0.0,0.0
8,311,estrato_2,res,0.0,0.0
8,311,estrato_3,res,0.0,0.0
8,311,estrato_4,res,0.0,0.0
8,311,estrato_5,res,0.0,0.0
8,311,estrato_6,res,0.0,0.0
8,361,comercial,com,0.0,0.0
8,361,estrato_1,res,0.0,0.0
8,361,estrato_2,res,0.0,0.0
8,361,estrato_3,res,0.0,0.0
8,361,estrato_4,res,0.0,0.0
8,361,estrato_5,res,0.0,0.0
8,361,estrato_6,res,0.0,0.0
8,361,industrial,ind,0.0,0.0
8,429,comercial,com,0.0,0.0
8,429,estrato_1,res,0.0,0.0
8,429,estrato_2,res,0.0,0.0
8,429,estrato_3,res,0.0,0.0
8,429,estrato_4,res,0.0,0.0
8,429,estrato_5,res,0.0,0.0
8,429,estrato_6,res,0.0,0.0
8,429,industrial,ind,0.0,0.0
8,443,comercial,com,0.0,0.0
8,443,estrato_1,res,0.0,0.0
8,443,estrato_2,res,0.0,0.0
8,443,estrato_3,res,0.0,0.0
8,443,estrato_4,res,0.0,0.0
8,443,estrato_5,res,0.0,0.0
8,443,estrato_6,res,0.0,0.0
8,443,industrial,ind,0.0,0.0
8,458,comercial,com,0.0,0.0
8,458,estrato_1,res,0.0,0.0
8,458,estrato_2,res,0.0,0.0
8,458,estrato_3,res,0.0,0.0
8,458,estrato_6,res,0.0,0.0
8,458,industrial,ind,0.0,0.0
8,483,comercial,com,0.0,0.0
8,483,estrato_1,res,0.0,0.0
8,483,estrato_2,res,0.0,0.0
8,483,estrato_3,res,0.0,0.0
8,483,estrato_4,res,0.0,0.0
8,483,estrato_5,res,0.0,0.0
8,483,estrato_6,res,0.0,0.0
8,483,industrial,ind,0.0,0.0
8,485,comercial,com,0.0,0.0
8,485,estrato_1,res,0.0,0.0
8,485,estrato_2,res,0.0,0.0
8,485,estrato_3,res,0.0,0.0
8,485,estrato_4,res,0.0,0.0
8,485,industrial,ind,0.0,0.0
8,502,comercial,com,0.0,0.0
8,502,estrato_1,res,0.0,0.0
8,502,estrato_2,res,0.0,0.0
8,502,estrato_3,res,0.0,0.0
8,502,estrato_4,res,0.0,0.0
8,502,industrial,ind,0.0,0.0
8,553,comercial,com,0.0,0.0
8,553,estrato_1,res,0.0,0.0
8,553,estrato_2,res,0.0,0.0
8,619,comercial,com,0.0,0.0
8,619,estrato_1,res,0.0,0.0
8,619,estrato_2,res,0.0,0.0
8,619,estrato_3,res,0.0,0.0
8,619,industrial,ind,0.0,0.0
8,635,comercial,com,0.0,0.0
8,635,estrato_1,res,0.0,0.0
8,635,estrato_2,res,0.0,0.0
8,635,estrato_3,res,0.0,0.0
8,635,estrato_4,res,0.0,0.0
8,635,estrato_5,res,0.0,0.0
8,635,estrato_6,res,0.0,0.0
8,635,industrial,ind,0.0,0.0
8,699,comercial,com,0.0,0.0
8,699,estrato_1,res,0.0,0.0
8,699,estrato_2,res,0.0,0.0
8,699,estrato_3,res,0.0,0.0
8,699,estrato_4,res,0.0,0.0
8,699,estrato_6,res,0.0,0.0
8,703,comercial,com,0.0,0.0
8,703,estrato_1,res,0.0,0.0
8,703,estrato_2,res,0.0,0.0
8,703,estrato_3,res,0.0,0.0
8,703,estrato_4,res,0.0,0.0
8,703,estrato_5,res,0.0,0.0
8,703,estrato_6,res,0.0,0.0
8,703,industrial,ind,0.0,0.0
8,774,comercial,com,0.0,0.0
8,774,estrato_1,res,0.0,0.0
8,774,estrato_2,res,0.0,0.0
8,774,estrato_3,res,0.0,0.0
8,774,estrato_4,res,0.0,0.0
8,774,estrato_5,res,0.0,0.0
8,774,estrato_6,res,0.0,0.0
8,774,industrial,ind,0.0,0.0
8,784,comercial,com,0.0,0.0
8,784,estrato_1,res,0.0,0.0
8,784,estrato_2,res,0.0,0.0
8,784,estrato_3,res,0.0,0.0
8,784,estrato_4,res,0.0,0.0
8,784,estrato_5,res,0.0,0.0
8,784,estrato_6,res,0.0,0.0
8,784,industrial,ind,0.0,0.0
8,816,comercial,com,0.0,0.0
8,816,estrato_1,res,0.0,0.0
8,816,estrato_2,res,0.0,0.0
8,816,estrato_3,res,0.0,0.0
8,816,estrato_4,res,0.0,0.0
8,816,estrato_5,res,0.0,0.0
