control_reg_id,state_id,sector_abbr,p,q,teq_yr1,tech
27,841,res,0.00285301,0.573395,2,solar
33,841,res,0.00285301,0.573395,2,solar
20,240,res,0.00285301,0.573395,2,solar
27,160,res,0.00285301,0.573395,2,solar
35,160,res,0.00285301,0.573395,2,solar
33,160,res,0.00285301,0.573395,2,solar
40,160,res,0.00285301,0.573395,2,solar
18,160,res,0.00285301,0.573395,2,solar
27,355,res,0.00285301,0.573395,2,solar
20,26,res,0.00285301,0.573395,2,solar
10,26,res,0.00285301,0.573395,2,solar
35,26,res,0.00285301,0.573395,2,solar
21,26,res,0.00285301,0.573395,2,solar
18,26,res,0.00285301,0.573395,2,solar
12,26,res,0.00285301,0.573395,2,solar
27,26,res,0.00285301,0.573395,2,solar
30,26,res,0.00285301,0.573395,2,solar
27,204,res,0.00285301,0.573395,2,solar
35,204,res,0.00285301,0.573395,2,solar
33,204,res,0.00285301,0.573395,2,solar
20,436,res,0.00285301,0.573395,2,solar
20,608,res,0.00285301,0.573395,2,solar
35,608,res,0.00285301,0.573395,2,solar
18,608,res,0.00285301,0.573395,2,solar
20,942,res,0.00285301,0.573395,2,solar
27,942,res,0.00285301,0.573395,2,solar
27,524,res,0.00285301,0.573395,2,solar
20,560,res,0.00285301,0.573395,2,solar
20,933,res,0.00285301,0.573395,2,solar
35,933,res,0.00285301,0.573395,2,solar
35,531,res,0.00285301,0.573395,2,solar
33,531,res,0.00285301,0.573395,2,solar
18,531,res,0.00285301,0.573395,2,solar
32,531,res,0.00285301,0.573395,2,solar
27,419,res,0.00285301,0.573395,2,solar
35,419,res,0.00285301,0.573395,2,solar
20,1041,res,0.00285301,0.573395,2,solar
18,1041,res,0.00285301,0.573395,2,solar
38,1041,res,0.00285301,0.573395,2,solar
28,1041,res,0.00285301,0.573395,2,solar
42,1041,res,0.00285301,0.573395,2,solar
35,1041,res,0.00285301,0.573395,2,solar
27,1041,res,0.00285301,0.573395,2,solar
