control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,developable_roof_sqft,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,interconnection_limit,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias,elevation,unsub_cost,departamento,agent_id
EDCD,27,600,ZONA BANANERA,res,estrato_1,560.79919,14808,69239488,4675.82,36365.1,389.6516667,1000,1,1,0.6,small,15,11,0.126177799,MAGDALENA,217
EDCD,27,353,ALGARROBO,res,estrato_1,560.79919,2712,7957059,2934.02,4179.107,244.5016667,1000,1,1,0.6,small,15,66,0.126177799,MAGDALENA,218
EDCD,27,280,CONCORDIA,res,estrato_1,560.79919,2688,7649758,2845.89,4017.71,237.1575,1000,1,1,0.6,small,15,14,0.126177799,MAGDALENA,219
EDCD,27,200,ZAPAYAN,res,estrato_1,560.79919,1638,4353836,2658.02,2286.667,221.5016667,1000,1,1,0.6,small,15,16,0.126177799,MAGDALENA,220
EDCD,27,539,ARROYOHONDO,res,estrato_1,560.79919,1106,2692211,2434.19,1413.969,202.8491667,1000,1,1,0.6,small,15,38,0.126177799,BOLIVAR,221
EDCD,27,714,SABANAS DE SAN ANGEL,res,estrato_1,560.79919,2124,6542122,3080.1,3435.972,256.675,1000,1,1,0.6,small,15,83,0.126177799,MAGDALENA,222
EDCD,27,928,NUEVA GRANADA,res,estrato_1,560.79919,3326,11166519,3357.34,5864.74,279.7783333,1000,1,1,0.6,small,15,54,0.126177799,MAGDALENA,223
EDCD,27,898,SANTA BARBARA DE PINTO,res,estrato_1,560.79919,2198,5411408,2461.97,2842.112,205.1641667,1000,1,1,0.6,small,15,17,0.126177799,MAGDALENA,224
EDCD,27,347,COVENAS,res,estrato_1,560.79919,1666,3825981,2296.51,2009.434,191.3758333,1000,1,1,0.6,small,15,11,0.126177799,SUCRE,225
EDCD,27,304,CARTAGENA DE INDIAS,res,estrato_1,560.79919,129692,405794088.4,3128.91,213126.108,260.7425,1000,1,1,0.6,small,15,228,0.126177799,BOLIVAR,226
EDCD,27,693,EL PENON,res,estrato_1,560.79919,1508,4662299,3091.71,2448.675,257.6425,1000,1,1,0.6,small,15,228,0.126177799,BOLIVAR,227
EDCD,27,532,NOROSI,res,estrato_1,560.79919,379,1276700,3368.6,670.532,280.7166667,1000,1,1,0.6,small,15,228,0.126177799,BOLIVAR,228
EDCD,27,166,MANAURE BALCON DEL CESAR,res,estrato_1,560.79919,1324,2091807,1579.91,1098.633,131.6591667,1000,1,1,0.6,small,15,228,0.126177799,CESAR,229
EDCD,27,166,MANAURE BALCON DEL CESAR,res,estrato_1,560.79919,270,461181,1708.08,242.216,142.34,1000,1,1,0.6,small,15,228,0.126177799,CESAR,230
EDCD,27,568,MONITOS,res,estrato_1,560.79919,5982,13226825,2211.1,6946.828,184.2583333,1000,1,1,0.6,small,15,228,0.126177799,CORDOBA,231
EDCD,27,576,PURISIMA DE LA CONCEPCION,res,estrato_1,560.79919,1434,2799168,1952,1470.144,162.6666667,1000,1,1,0.6,small,15,228,0.126177799,CORDOBA,232
EDCD,27,576,PURISIMA DE LA CONCEPCION,res,estrato_1,560.79919,1884,4120976,2187.35,2164.368,182.2791667,1000,1,1,0.6,small,15,228,0.126177799,CORDOBA,233
EDCD,27,809,SAN JOSE DE URE,res,estrato_1,560.79919,240,480887,2003.7,252.565,166.975,1000,1,1,0.6,small,15,228,0.126177799,CORDOBA,234
EDCD,27,809,SAN JOSE DE URE,res,estrato_1,560.79919,1750,4199069,2399.47,2205.383,199.9558333,1000,1,1,0.6,small,15,228,0.126177799,CORDOBA,235
EDCD,27,537,TUCHIN,res,estrato_1,560.79919,4933,8474144,1717.85,4450.684,143.1541667,1000,1,1,0.6,small,15,228,0.126177799,CORDOBA,236
EDCD,27,1029,ARIGUANI,res,estrato_1,560.79919,4353,11936114,2742.04,6268.937,228.5033333,1000,1,1,0.6,small,15,228,0.126177799,MAGDALENA,237
EDCD,27,1029,ARIGUANI,res,estrato_1,560.79919,458,2122808,4634.95,1114.915,386.2458333,1000,1,1,0.6,small,15,228,0.126177799,MAGDALENA,238
EDCD,27,18,CERRO DE SAN ANTONIO,res,estrato_1,560.79919,1899,6057647,3189.91,3181.522,265.8258333,1000,1,1,0.6,small,15,228,0.126177799,MAGDALENA,239
EDCD,27,141,EL PINON,res,estrato_1,560.79919,4181,14813813,3543.13,7780.326,295.2608333,1000,1,1,0.6,small,15,228,0.126177799,MAGDALENA,240
EDCD,27,1012,PIJINO DEL CARMEN,res,estrato_1,560.79919,1651,5114285,3097.69,2686.061,258.1408333,1000,1,1,0.6,small,15,228,0.126177799,MAGDALENA,241
EDCD,27,980,SAN LUIS DE SINCE,res,estrato_1,560.79919,4933,8894277,1803.02,4671.341,150.2516667,1000,1,1,0.6,small,15,228,0.126177799,SUCRE,242
EDCD,27,980,SAN LUIS DE SINCE,res,estrato_1,560.79919,1218,2526089,2073.96,1326.721,172.83,1000,1,1,0.6,small,15,228,0.126177799,SUCRE,243
EDCD,27,91,SANTIAGO DE TOLU,res,estrato_1,560.79919,3264,7890360,2417.39,4144.076,201.4491667,1000,1,1,0.6,small,15,228,0.126177799,SUCRE,244
EDCD,27,435,TOLU VIEJO,res,estrato_1,560.79919,4464,10393436,2328.28,5458.711,194.0233333,1000,1,1,0.6,small,15,228,0.126177799,SUCRE,245
EDCD,27,103,URIBIA,res,estrato_2,560.79919,1306,9803587,7506.58,1630.398,625.5483333,1000,1,1,0.6,small,57,34,0.126177799,LA GUAJIRA,246
EDCD,27,530,MANAURE,res,estrato_2,560.79919,1232,6692075,5431.88,1112.934,452.6566667,1000,1,1,0.6,small,57,13,0.126177799,LA GUAJIRA,247
EDCD,27,767,MAICAO,res,estrato_2,560.79919,11937,70951642,5943.84,11799.705,495.32,1000,1,1,0.6,small,57,24,0.126177799,LA GUAJIRA,248
EDCD,27,525,RIOHACHA,res,estrato_2,560.79919,15735,55582186,3532.39,9243.668,294.3658333,1000,1,1,0.6,small,57,172,0.126177799,LA GUAJIRA,249
EDCD,27,62,DIBULLA,res,estrato_2,560.79919,3096,14585136,4710.96,2425.6,392.58,1000,1,1,0.6,small,57,681,0.126177799,LA GUAJIRA,250
EDCD,27,585,SANTA MARTA,res,estrato_2,560.79919,25972,94692443,3645.94,15747.95,303.8283333,1000,1,1,0.6,small,57,888,0.126177799,MAGDALENA,251
EDCD,27,754,HATONUEVO,res,estrato_2,560.79919,1503,7026470,4674.96,1168.546,389.58,1000,1,1,0.6,small,57,132,0.126177799,LA GUAJIRA,252
EDCD,27,4,BARRANCAS,res,estrato_2,560.79919,2436,7759000,3185.14,1290.371,265.4283333,1000,1,1,0.6,small,57,261,0.126177799,LA GUAJIRA,253
EDCD,27,920,CIENAGA,res,estrato_2,560.79919,7788,31267425,4014.82,5199.97,334.5683333,1000,1,1,0.6,small,57,409,0.126177799,MAGDALENA,254
EDCD,27,10,BARRANQUILLA,res,estrato_2,560.79919,60087,201451770,3352.67,33502.699,279.3891667,1000,1,1,0.6,small,57,20,0.126177799,ATLANTICO,255
EDCD,27,794,SITIONUEVO,res,estrato_2,560.79919,24,260203,10841.79,43.273,903.4825,1000,1,1,0.6,small,57,2,0.126177799,MAGDALENA,256
EDCD,27,169,PUERTO COLOMBIA,res,estrato_2,560.79919,3017,10083995,3342.39,1677.032,278.5325,1000,1,1,0.6,small,57,18,0.126177799,ATLANTICO,257
EDCD,27,393,DISTRACCION,res,estrato_2,560.79919,819,2178593,2660.06,362.314,221.6716667,1000,1,1,0.6,small,57,226,0.126177799,LA GUAJIRA,258
EDCD,27,393,DISTRACCION,res,estrato_2,560.79919,495,2038223,4117.62,338.969,343.135,1000,1,1,0.6,small,57,226,0.126177799,LA GUAJIRA,259
EDCD,27,431,FONSECA,res,estrato_2,560.79919,3216,9439619,2935.2,1569.868,244.6,1000,1,1,0.6,small,57,247,0.126177799,LA GUAJIRA,260
EDCD,27,702,SAN JUAN DEL CESAR,res,estrato_2,560.79919,4527,13958664,3083.42,2321.414,256.9516667,1000,1,1,0.6,small,57,393,0.126177799,LA GUAJIRA,261
EDCD,27,1013,PUEBLOVIEJO,res,estrato_2,560.79919,12,62089,5174.08,10.326,431.1733333,1000,1,1,0.6,small,57,1,0.126177799,MAGDALENA,262
EDCD,27,406,TUBARA,res,estrato_2,560.79919,998,2795314,2800.92,464.878,233.41,1000,1,1,0.6,small,57,65,0.126177799,ATLANTICO,263
EDCD,27,101,GALAPA,res,estrato_2,560.79919,2912,8812578,3026.3,1465.587,252.1916667,1000,1,1,0.6,small,57,54,0.126177799,ATLANTICO,264
EDCD,27,136,SOLEDAD,res,estrato_2,560.79919,56826,155705497,2740.04,25894.806,228.3366667,1000,1,1,0.6,small,57,18,0.126177799,ATLANTICO,265
EDCD,27,453,MALAMBO,res,estrato_2,560.79919,6067,27909997,4600.3,4641.608,383.3583333,1000,1,1,0.6,small,57,30,0.126177799,ATLANTICO,266
EDCD,27,540,JUAN DE ACOSTA,res,estrato_2,560.79919,1289,4023479,3121.4,669.13,260.1166667,1000,1,1,0.6,small,57,43,0.126177799,ATLANTICO,267
EDCD,27,926,VALLEDUPAR,res,estrato_2,560.79919,40656,124451147,3061.08,20697.01,255.09,1000,1,1,0.6,small,57,368,0.126177799,CESAR,268
EDCD,27,603,ARACATACA,res,estrato_2,560.79919,2010,5482954,2727.84,911.85,227.32,1000,1,1,0.6,small,57,957,0.126177799,MAGDALENA,269
EDCD,27,789,BARANOA,res,estrato_2,560.79919,5060,14580859,2881.59,2424.889,240.1325,1000,1,1,0.6,small,57,80,0.126177799,ATLANTICO,270
EDCD,27,954,SABANAGRANDE,res,estrato_2,560.79919,2697,13836925,5130.49,2301.168,427.5408333,1000,1,1,0.6,small,57,8,0.126177799,ATLANTICO,271
EDCD,27,456,POLONUEVO,res,estrato_2,560.79919,1239,3123267,2520.8,519.419,210.0666667,1000,1,1,0.6,small,57,40,0.126177799,ATLANTICO,272
EDCD,27,407,PIOJO,res,estrato_2,560.79919,239,674825,2823.54,112.228,235.295,1000,1,1,0.6,small,57,59,0.126177799,ATLANTICO,273
EDCD,27,241,USIACURI,res,estrato_2,560.79919,861,1942212,2255.76,323.002,187.98,1000,1,1,0.6,small,57,69,0.126177799,ATLANTICO,274
EDCD,27,1052,SANTA CATALINA,res,estrato_2,560.79919,195,543493,2787.14,90.386,232.2616667,1000,1,1,0.6,small,57,11,0.126177799,BOLIVAR,275
EDCD,27,346,SANTO TOMAS,res,estrato_2,560.79919,2878,13411570,4660.03,2230.429,388.3358333,1000,1,1,0.6,small,57,15,0.126177799,ATLANTICO,276
