source,year,sector_abbr,control_reg_id,escalation_factor
Planning,2017,com,8,1.02
Planning,2017,com,9,1.02
Planning,2017,com,10,1.02
Planning,2017,com,11,1.02
Planning,2017,com,12,1.02
Planning,2017,com,13,1.02
Planning,2017,com,14,1.02
Planning,2017,com,15,1.02
Planning,2017,com,16,1.02
Planning,2017,com,17,1.02
Planning,2017,com,18,1.02
Planning,2017,com,19,1.02
Planning,2017,com,20,1.02
Planning,2017,com,21,1.02
Planning,2017,com,22,1.02
Planning,2017,com,23,1.02
Planning,2017,com,24,1.02
Planning,2017,com,25,1.02
Planning,2017,com,26,1.02
Planning,2017,com,27,1.02
Planning,2017,com,28,1.02
Planning,2017,com,29,1.02
Planning,2017,com,30,1.02
Planning,2017,com,31,1.02
Planning,2017,com,32,1.02
Planning,2017,com,33,1.02
Planning,2017,com,34,1.02
Planning,2017,com,35,1.02
Planning,2017,com,36,1.02
Planning,2017,com,37,1.02
Planning,2017,com,38,1.02
Planning,2017,com,39,1.02
Planning,2017,com,40,1.02
Planning,2017,com,41,1.02
Planning,2017,com,42,1.02
Planning,2017,ind,1,1.02
Planning,2017,ind,2,1.02
Planning,2017,ind,3,1.02
Planning,2017,ind,4,1.02
Planning,2017,ind,5,1.02
Planning,2017,ind,6,1.02
Planning,2017,ind,7,1.02
Planning,2017,ind,8,1.02
Planning,2017,ind,9,1.02
Planning,2017,ind,10,1.02
Planning,2017,ind,11,1.02
Planning,2017,ind,12,1.02
Planning,2017,ind,13,1.02
Planning,2017,ind,14,1.02
Planning,2017,ind,15,1.02
Planning,2017,ind,16,1.02
Planning,2017,ind,17,1.02
Planning,2017,ind,18,1.02
Planning,2017,ind,19,1.02
Planning,2017,ind,20,1.02
Planning,2017,ind,21,1.02
Planning,2017,ind,22,1.02
Planning,2017,ind,23,1.02
Planning,2017,ind,24,1.02
Planning,2017,ind,25,1.02
Planning,2017,ind,26,1.02
Planning,2017,ind,27,1.02
Planning,2017,ind,28,1.02
Planning,2017,ind,29,1.02
