country_abbr,control_reg_id,state_id,sector_abbr,tariff_class,pv_capacity_mw,pv_systems_count
MEX,3,18,ind,DIT,0.0,0
MEX,3,18,ind,GDMTH,1.3003,6
MEX,3,18,ind,GDMTO,0.014,1
MEX,3,18,res,DB1,0.918694,234
MEX,3,18,res,DB2,0.0,0
MEX,3,22,com,APBT,0.08915,83
MEX,3,22,com,GDBT,0.250545,48
MEX,3,22,com,RABT,0.0,0
MEX,3,22,com,RAMT,0.0,0
MEX,3,22,ind,DIST,0.0,0
MEX,3,22,ind,DIT,0.0,0
MEX,3,22,ind,GDMTH,1.05725,7
MEX,3,22,ind,GDMTO,0.5245,10
MEX,3,22,res,DB1,1.46088,535
MEX,3,22,res,DB2,0.0,0
MEX,3,24,com,APBT,0.0,0
MEX,3,24,com,GDBT,0.201755,42
MEX,3,24,com,RABT,0.0,0
MEX,3,24,com,RAMT,0.0,0
MEX,3,24,ind,DIST,0.0,0
MEX,3,24,ind,DIT,0.0,0
MEX,3,24,ind,GDMTH,1.20042,3
MEX,3,24,ind,GDMTO,0.44664,13
MEX,3,24,res,DB1,0.680126,292
MEX,3,24,res,DB2,0.0,0
MEX,3,32,com,APBT,0.0,0
MEX,3,32,com,GDBT,0.1435,22
MEX,3,32,com,RABT,0.0,0
MEX,3,32,com,RAMT,0.05,1
MEX,3,32,ind,DIST,0.0,0
MEX,3,32,ind,DIT,0.0,0
MEX,3,32,ind,GDMTH,0.537,4
MEX,3,32,ind,GDMTO,0.4737,9
MEX,3,32,res,DB1,0.100214,31
MEX,3,32,res,DB2,0.0,0
MEX,4,25,com,APBT,0.0,0
MEX,4,25,com,GDBT,0.27343,38
MEX,4,25,com,RABT,0.0,0
MEX,4,25,com,RAMT,0.0,0
MEX,4,25,ind,DIST,0.0,0
MEX,4,25,ind,DIT,0.0,0
MEX,4,25,ind,GDMTH,1.158084,20
MEX,4,25,ind,GDMTO,0.2109,12
MEX,4,25,res,DB1,0.43375,73
MEX,4,25,res,DB2,0.198745,45
MEX,4,26,com,APBT,0.002,1
MEX,4,26,com,GDBT,0.37503,63
MEX,4,26,com,RABT,0.0,0
MEX,4,26,com,RAMT,0.0,0
MEX,4,26,ind,DIST,0.0,0
MEX,4,26,ind,DIT,0.0,0
MEX,4,26,ind,GDMTH,0.87305,13
MEX,4,26,ind,GDMTO,0.626545,18
MEX,4,26,res,DB1,2.033068,256
MEX,4,26,res,DB2,0.314015,67
MEX,5,6,com,APBT,0.0,0
MEX,5,6,com,GDBT,0.739125,123
MEX,5,6,com,RABT,0.00155,1
MEX,5,6,com,RAMT,0.0,0
MEX,5,6,ind,DIST,0.0,0
MEX,5,6,ind,DIT,0.0,0
MEX,5,6,ind,GDMTH,1.66338,17
MEX,5,6,ind,GDMTO,0.4166,19
MEX,5,6,res,DB1,1.594434,688
MEX,5,6,res,DB2,0.30538000000000004,81
MEX,5,10,com,APBT,0.0,0
MEX,5,10,com,GDBT,0.37901,36
MEX,5,10,com,RABT,0.0,0
MEX,5,10,com,RAMT,0.0,0
MEX,5,10,ind,DIST,0.0,0
MEX,5,10,ind,DIT,0.0,0
MEX,5,10,ind,GDMTH,0.215756,6
MEX,5,10,ind,GDMTO,0.375,10
MEX,5,10,res,DB1,0.4366,62
MEX,5,10,res,DB2,0.0,0
MEX,6,7,com,APBT,0.0,0
MEX,6,7,com,GDBT,0.26839,43
MEX,6,7,com,RABT,0.0,0
MEX,6,7,com,RAMT,0.0055,2
MEX,6,7,ind,DIST,0.0,0
MEX,6,7,ind,DIT,0.0,0
MEX,6,7,ind,GDMTH,0.2508,8
MEX,6,7,ind,GDMTO,0.49212,17
MEX,6,7,res,DB1,3.211408,470
MEX,6,7,res,DB2,0.01425,2
MEX,6,19,com,APBT,0.0,0
MEX,6,19,com,GDBT,3.49378,209
MEX,6,19,com,RABT,0.0,0
MEX,6,19,com,RAMT,0.0,0
MEX,6,19,ind,DIST,0.0,0
MEX,6,19,ind,DIT,0.0,0
MEX,6,19,ind,GDMTH,0.92058,9
MEX,6,19,ind,GDMTO,2.0467,41
MEX,6,19,res,DB1,16.427229999999998,1969
MEX,6,19,res,DB2,0.0241,4
MEX,6,28,com,APBT,0.0,0
MEX,6,28,com,GDBT,0.123035,22
MEX,6,28,com,RABT,0.0,0
MEX,6,28,com,RAMT,0.0,0
MEX,6,28,ind,DIST,0.0,0
MEX,6,28,ind,DIT,0.0,0
MEX,6,28,ind,GDMTH,0.986,7
MEX,6,28,ind,GDMTO,0.1575,6
MEX,6,28,res,DB1,0.7131190000000001,165
MEX,6,28,res,DB2,0.0,0
MEX,7,4,com,APBT,0.0,0
MEX,7,4,com,GDBT,0.10449,22
MEX,7,4,com,RABT,0.0,0
MEX,7,4,com,RAMT,0.0,0
MEX,7,4,ind,DIST,0.0,0
MEX,7,4,ind,DIT,0.0,0
MEX,7,4,ind,GDMTH,0.0,0
MEX,7,4,ind,GDMTO,0.0,0
MEX,7,4,res,DB1,0.227347,52
MEX,7,4,res,DB2,0.0,0
MEX,7,23,com,APBT,0.0,0
MEX,7,23,com,GDBT,0.0916,22
MEX,7,23,com,RABT,0.0,0
MEX,7,23,com,RAMT,0.0,0
MEX,7,23,ind,DIST,0.0,0
MEX,7,23,ind,DIT,0.0,0
MEX,7,23,ind,GDMTH,0.204,6
MEX,7,23,ind,GDMTO,0.092,2
MEX,7,23,res,DB1,0.72307,120
MEX,7,23,res,DB2,0.0,0
MEX,7,31,com,APBT,0.0,0
MEX,7,31,com,GDBT,0.313,90
MEX,7,31,com,RABT,0.0,0
MEX,7,31,com,RAMT,0.0,0
MEX,7,31,ind,DIST,0.0,0
MEX,7,31,ind,DIT,0.0,0
MEX,7,31,ind,GDMTH,0.403,9
MEX,7,31,ind,GDMTO,0.302,12
MEX,7,31,res,DB1,1.6545759999999998,406
MEX,7,31,res,DB2,0.0,0
MEX,8,2,com,APBT,0.0,0
MEX,8,2,com,GDBT,0.421345,93
MEX,8,2,com,RABT,0.0,0
MEX,8,2,com,RAMT,0.0,0
MEX,8,2,ind,DIST,0.25,1
MEX,8,2,ind,DIT,0.0,0
MEX,8,2,ind,GDMTH,0.30782,5
MEX,8,2,ind,GDMTO,0.1264,4
MEX,8,2,res,DB1,1.346398,528
MEX,8,2,res,DB2,0.07350000000000001,26
MEX,9,3,com,APBT,0.0,0
MEX,9,3,com,GDBT,0.12295,20
MEX,9,3,com,RABT,0.0,0
MEX,9,3,com,RAMT,0.0,0
MEX,9,3,ind,DIST,0.0,0
MEX,9,3,ind,DIT,0.0,0
MEX,9,3,ind,GDMTH,1.218,9
MEX,9,3,ind,GDMTO,0.03315,5
MEX,9,3,res,DB1,0.54664,102
MEX,9,3,res,DB2,0.006,1
