agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
948,Oriental,2,30,VeracruzdeIgnaciodelaLlave,ind,HMC,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
115,Peninsular,7,4,Campeche,ind,HM,MEX,702,294217476.0,419113.2137,1893,31400,1,1,0.6,small,42
454,Central,1,15,Mexico,com,7,MEX,100,1317715.1,13177.151000000002,8567,987,1,1,0.6,small,22
603,Noreste,6,19,NuevoLeon,ind,HT,MEX,9,201935573.0,22437285.89,8710,1680998,1,1,0.6,small,40
56,BajaCalifornia,8,2,BajaCalifornia,ind,HSF,MEX,0,0.0,0.0,2621,0,1,1,0.6,small,35
987,Peninsular,7,31,Yucatan,ind,HT,MEX,2,8006971.6,4003485.8,1893,299941,1,1,0.6,small,42
972,Peninsular,7,31,Yucatan,res,1E,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,5
1018,Occidental,3,32,Zacatecas,ind,HSLF,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
119,Peninsular,7,4,Campeche,ind,HS,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,42
805,Noroeste,4,26,Sonora,com,6,MEX,1044,165793142.0,158805.6916,4350,11898,1,1,0.6,small,21
399,Central,1,13,Hidalgo,com,9CU,MEX,278,19526244.0,70238.28777000001,8567,5262,1,1,0.6,small,25
680,Occidental,3,22,Queretaro,res,1A,MEX,25259,29242109.0,1157.690685,9351,87,1,1,0.6,small,1
239,Occidental,3,8,Colima,com,9CU,MEX,464,34347299.0,74024.35128999999,9351,5546,1,1,0.6,small,25
550,Occidental,3,18,Nayarit,com,7,MEX,122,41110.608,336.9721967,9351,25,1,1,0.6,small,22
803,Noroeste,4,26,Sonora,com,3,MEX,174,7368983.1,42350.47759,4350,3173,1,1,0.6,small,18
927,Oriental,2,29,Tlaxcala,ind,OM,MEX,1181,84678282.0,71700.4928,7128,5372,1,1,0.6,small,34
317,Norte,5,10,Durango,ind,HTL,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,41
960,Oriental,2,30,VeracruzdeIgnaciodelaLlave,ind,OMF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,34
574,Occidental,3,18,Nayarit,ind,HTLF,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
865,Noreste,6,28,Tamaulipas,res,1,MEX,9432,6873199.8,728.7107506,8710,55,1,1,0.6,small,0
885,Noreste,6,28,Tamaulipas,ind,HMCF,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,40
605,Noreste,6,19,NuevoLeon,ind,HTL,MEX,3,37368715.0,12456238.33,8710,933219,1,1,0.6,small,40
523,Oriental,2,17,Morelos,res,1D,MEX,1,0.0,0.0,7128,0,1,1,0.6,small,4
320,Norte,5,10,Durango,ind,OMF,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,32
721,Peninsular,7,23,QuintanaRoo,com,9N,MEX,3,588362.21,196120.7367,1893,14693,1,1,0.6,small,26
909,Oriental,2,29,Tlaxcala,res,1F,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,6
224,Noreste,6,7,CoahuiladeZaragoza,ind,OMF,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,31
353,Oriental,2,12,Guerrero,res,1,MEX,140318,145137478.0,1034.346826,7128,77,1,1,0.6,small,0
816,Noroeste,4,26,Sonora,com,9M,MEX,275,5050264.7,18364.59891,4350,1376,1,1,0.6,small,24
580,Noreste,6,19,NuevoLeon,com,5,MEX,4567,138354241.0,30294.337860000003,8710,2270,1,1,0.6,small,15
625,Oriental,2,20,Oaxaca,com,9N,MEX,21,1042794.6,49656.88571,7128,3720,1,1,0.6,small,26
951,Oriental,2,30,VeracruzdeIgnaciodelaLlave,ind,HS,MEX,33,812651688.0,24625808.73,7128,1844962,1,1,0.6,small,42
44,BajaCalifornia,8,2,BajaCalifornia,res,1E,MEX,5,0.0,0.0,2621,0,1,1,0.6,small,5
706,Peninsular,7,23,QuintanaRoo,com,2,MEX,46432,303526827.0,6537.018156,1893,490,1,1,0.6,small,17
795,Noroeste,4,25,Sinaloa,ind,HT,MEX,0,0.0,0.0,4350,0,1,1,0.6,small,39
290,Norte,5,10,Durango,com,2,MEX,46601,155723219.0,3341.62827,4258,250,1,1,0.6,small,17
982,Peninsular,7,31,Yucatan,ind,HMF,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,42
541,Oriental,2,17,Morelos,ind,HTL,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
489,Occidental,3,16,MichoacandeOcampo,res,1B,MEX,87934,151275852.0,1720.334023,9351,129,1,1,0.6,small,2
978,Peninsular,7,31,Yucatan,res,DAC,MEX,5892,59611623.0,10117.3834,1893,758,1,1,0.6,small,8
806,Noroeste,4,26,Sonora,com,7,MEX,27,44287.337,1640.271741,4350,123,1,1,0.6,small,22
356,Oriental,2,12,Guerrero,com,5,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,15
888,Noreste,6,28,Tamaulipas,ind,HSF,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,40
59,BajaCalifornia,8,2,BajaCalifornia,ind,HT,MEX,13,360632464.0,27740958.77,2621,2078348,1,1,0.6,small,35
323,Occidental,3,11,Guanajuato,com,3,MEX,49,3330386.4,67967.06939,9351,5092,1,1,0.6,small,18
4,Occidental,3,1,Aguascalientes,com,5,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,15
776,Noroeste,4,25,Sinaloa,res,1A,MEX,0,0.0,0.0,4350,0,1,1,0.6,small,1
37,BajaCalifornia,8,2,BajaCalifornia,com,6,MEX,484,59561970.0,123061.9215,2621,9220,1,1,0.6,small,21
851,Oriental,2,27,Tabasco,ind,HM,MEX,1206,633926670.0,525644.005,7128,39381,1,1,0.6,small,42
593,Noreste,6,19,NuevoLeon,com,9N,MEX,649,21830600.0,33637.28814,8710,2520,1,1,0.6,small,26
144,Oriental,2,5,Chiapas,com,9M,MEX,95,7536081.7,79327.17579,7128,5943,1,1,0.6,small,24
408,Central,1,13,Hidalgo,ind,HSF,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,38
615,Oriental,2,20,Oaxaca,com,9,MEX,1720,1594571.0,927.0761628,7128,69,1,1,0.6,small,23
221,Noreste,6,7,CoahuiladeZaragoza,ind,HTL,MEX,1,0.0,0.0,8710,0,1,1,0.6,small,40
338,Occidental,3,11,Guanajuato,res,DAC,MEX,21445,117850779.0,5495.489811,9351,412,1,1,0.6,small,9
884,Noreste,6,28,Tamaulipas,ind,HMC,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,40
17,Occidental,3,1,Aguascalientes,com,9N,MEX,2199,299392781.0,136149.5139,9351,10200,1,1,0.6,small,26
458,Central,1,15,Mexico,res,1C,MEX,2133,5384702.1,2524.473558,8567,189,1,1,0.6,small,3
629,Oriental,2,20,Oaxaca,ind,HMCF,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,42
893,Noreste,6,28,Tamaulipas,ind,HTL,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,40
1022,Occidental,3,32,Zacatecas,ind,HTLF,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
444,Occidental,3,14,Jalisco,ind,HTF,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,42
936,Oriental,2,30,VeracruzdeIgnaciodelaLlave,res,1A,MEX,250764,262562615.0,1047.050673,7128,78,1,1,0.6,small,1
284,Central,1,9,DistritoFederal,ind,HTF,MEX,0,0.0,0.0,8567,0,1,1,0.6,small,38
71,BajaCaliforniaSur,9,3,BajaCaliforniaSur,com,9,MEX,34,413121.57,12150.63441,442,910,1,1,0.6,small,23
418,Occidental,3,14,Jalisco,com,2,MEX,350016,1177000000.0,3362.703419,9351,252,1,1,0.6,small,17
432,Occidental,3,14,Jalisco,com,9M,MEX,1245,37063722.0,29770.05783,9351,2230,1,1,0.6,small,24
107,Peninsular,7,4,Campeche,res,1D,MEX,13,5953.0296,457.9253538,1893,34,1,1,0.6,small,4
87,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,HS,MEX,3,146494648.0,48831549.33,442,3658452,1,1,0.6,small,37
783,Noroeste,4,25,Sinaloa,com,9CU,MEX,2149,142513914.0,66316.38622999999,4350,4968,1,1,0.6,small,25
210,Noreste,6,7,CoahuiladeZaragoza,res,DAC,MEX,8824,35091561.0,3976.831482,8710,298,1,1,0.6,small,10
626,Oriental,2,20,Oaxaca,res,DAC,MEX,5042,26294732.0,5215.13923,7128,391,1,1,0.6,small,9
1,Occidental,3,1,Aguascalientes,res,1,MEX,399237,498873678.0,1249.5677449999996,9351,94,1,1,0.6,small,0
