schema,table,proposed action,actual action,remaining to do
diffusion_wind,archive_wind_resource_far_future_small_turbine_2014_11,delete,,
diffusion_wind,archive_wind_resource_future_mid_and_large_turbine,delete,,
diffusion_wind,archive_wind_resource_future_small_turbine,delete,,
diffusion_wind,archive_wind_resource_hourly_current_small_comm_turbine_2014_11,delete,,
diffusion_wind,archive_wind_resource_hourly_far_future_small_turbine_2014_11,delete,,
diffusion_wind,archive_wind_resource_nearfuture_mid_and_large_turbine,delete,,
diffusion_wind,archive_wind_resource_nearfuture_small_turbine,delete,,
diffusion_wind,carbon_intensities_to_model,MOVE TO NEW diffusion_template schema,,
diffusion_wind,counties_to_model,MOVE TO NEW diffusion_template schema,,
diffusion_wind,county_load_bins_random_lookup_res_pg,?DELETE,,
diffusion_wind,depreciation_schedule,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,dsire_incentives_lookup_com,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,dsire_incentives_lookup_ind,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,dsire_incentives_lookup_res,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,dsire_incentives_simplified_lkup_com,? How does this compare to above?,,
diffusion_wind,dsire_incentives_simplified_lkup_ind,? How does this compare to above?,,
diffusion_wind,dsire_incentives_simplified_lkup_res,? How does this compare to above?,,
diffusion_wind,financial_parameters,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,ij_cfbin_lookup_com_pts_us,???,,
diffusion_wind,ij_cfbin_lookup_ind_pts_us,???,,
diffusion_wind,ij_cfbin_lookup_res_pts_us,???,,
diffusion_wind,ij_tzone_lookup,???,,
diffusion_wind,incentives,???,,
diffusion_wind,incentives_raw,???,,
diffusion_wind,leasing_availability,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,manual_incentives,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,market_projections,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,max_hi_dev_pct_lkup,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,max_market_curves_to_model,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,min_acres_per_hu_lkup,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,nem_scenario,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,nem_scenario_avoided_costs,RENAME WITH wind suffix and MOVE TO NEW diffusion_template schema,,
diffusion_wind,normalized_wind_power_curves,?,,
diffusion_wind,normalized_wind_power_curves_old,?,,
diffusion_wind,outputs_all,change code to dump this to new schema,,
diffusion_wind,outputs_com,change code to dump this to new schema,,
diffusion_wind,outputs_ind,change code to dump this to new schema,,
diffusion_wind,outputs_res,change code to dump this to new schema,,
diffusion_wind,point_microdata_com_us,consolidate with solar,,
