agent_id,control_reg,control_reg_id,state_id,state,sector_abbr,tariff_class,country_abbr,customers_in_bin,load_in_bin_kwh,load_per_customer_in_bin_kwh,max_demand_kw,avg_monthly_kwh,owner_occupancy_status,cap_cost_multiplier,developable_buildings_pct,bldg_size_class,rate_id_alias
604,Noreste,6,19,NuevoLeon,ind,DIT,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,144
336,Occidental,3,11,Guanajuato,com,RAMT,MEX,1628,32255530.0,19812.97912,9351,1484,1,1,0.6,small,187
73,BajaCaliforniaSur,9,3,BajaCaliforniaSur,res,DB2,MEX,9016,12302817.0,1364.553793,442,102,1,1,0.6,small,131
498,Occidental,3,16,MichoacandeOcampo,res,DB2,MEX,8044,36703698.0,4562.866484,9351,342,1,1,0.6,small,191
365,Oriental,2,12,Guerrero,res,DB2,MEX,27993,53066307.0,1895.699175,7128,142,1,1,0.6,small,83
901,Oriental,2,29,Tlaxcala,com,GDBT,MEX,511,61859292.0,121055.3659,7128,9069,1,1,0.6,small,73
58,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,MEX,0,0.0,0.0,2621,0,1,1,0.6,small,16
180,Norte,5,6,Chihuahua,ind,GDMTH,MEX,0,0.0,0.0,4258,0,1,1,0.6,small,117
832,Noroeste,4,26,Sonora,ind,GDMTO,MEX,0,0.0,0.0,4350,0,1,1,0.6,small,166
1020,Occidental,3,32,Zacatecas,ind,DIT,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,180
13,Occidental,3,1,Aguascalientes,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,183
364,Oriental,2,12,Guerrero,res,DB2,MEX,31237,41653308.0,1333.460576,7128,100,1,1,0.6,small,83
112,Peninsular,7,4,Campeche,com,RAMT,MEX,90,408182.96,4535.366222,1893,340,1,1,0.6,small,91
283,Central,1,9,DistritoFederal,ind,DIT,MEX,3,372710894.0,124236964.7,8567,9307813,1,1,0.6,small,48
86,BajaCaliforniaSur,9,3,BajaCaliforniaSur,ind,GDMTH,MEX,0,0.0,0.0,442,0,1,1,0.6,small,129
980,Peninsular,7,31,Yucatan,ind,GDMTH,MEX,0,0.0,0.0,1893,0,1,1,0.6,small,93
40,BajaCalifornia,8,2,BajaCalifornia,res,DB2,MEX,556906,1026000000.0,1842.321684,2621,138,1,1,0.6,small,23
890,Noreste,6,28,Tamaulipas,ind,DIST,MEX,0,0.0,0.0,8710,0,1,1,0.6,small,148
335,Occidental,3,11,Guanajuato,com,RABT,MEX,325,4446646.2,13681.988309999999,9351,1025,1,1,0.6,small,182
741,Occidental,3,24,SanLuisPotosi,com,GDBT,MEX,1165,56401565.0,48413.36052,9351,3627,1,1,0.6,small,181
668,Oriental,2,21,Puebla,ind,DIT,MEX,0,0.0,0.0,7128,0,1,1,0.6,small,72
234,Occidental,3,8,Colima,res,DB2,MEX,857,933438538.0,1089193.16,9351,81602,1,1,0.6,small,191
337,Occidental,3,11,Guanajuato,com,RABT,MEX,12819,2130000000.0,166159.6068,9351,12446,1,1,0.6,small,182
366,Oriental,2,12,Guerrero,com,APBT,MEX,4458,135859788.0,30475.50202,7128,2283,1,1,0.6,small,77
415,Central,1,13,Hidalgo,ind,GDMTO,MEX,2482,173112352.0,69747.12006,8567,5225,1,1,0.6,small,58
333,Occidental,3,11,Guanajuato,res,DB1,MEX,0,0.0,0.0,9351,0,1,1,0.6,small,183
913,Oriental,2,29,Tlaxcala,com,RABT,MEX,35,3672405.3,104925.8657,7128,7861,1,1,0.6,small,74
55,BajaCalifornia,8,2,BajaCalifornia,ind,DIST,MEX,89,909952729.0,10224187.97,2621,765995,1,1,0.6,small,16
811,Noroeste,4,26,Sonora,res,DB2,MEX,9597,13334559.0,1389.450766,4350,104,1,1,0.6,small,167
