district_id,district_name
247,east_kameng
248,papum_pare
249,upper_subansiri
250,west_siang
251,east_siang
252,upper_siang
253,changlang
254,tirap
255,lower_subansiri
256,kurung_kumey
257,dibang_valley
258,lower_dibang_valley
259,lohit
260,anjaw
261,mon
262,mokokchung
263,zunheboto
264,wokha
265,dimapur
266,phek
267,tuensang
268,longleng
269,kiphire
270,kohima
271,peren
272,senapati
273,tamenglong
274,churachandpur
275,bishnupur
276,thoubal
277,imphal_west
278,imphal_east
279,ukhrul
280,chandel
281,mamit
282,kolasib
283,aizawl
284,champhai
285,serchhip
286,lunglei
287,lawngtlai
288,saiha
289,west_tripura
290,south_tripura
291,dhalai
292,north_tripura
293,west_garo_hills
294,east_garo_hills
295,south_garo_hills
296,west_khasi_hills
297,ribhoi
298,east_khasi_hills
299,jaintia_hills
300,kokrajhar
301,dhubri
302,goalpara
303,barpeta
304,morigaon
305,nagaon
306,sonitpur
307,lakhimpur
308,dhemaji
309,tinsukia
310,dibrugarh
311,sivasagar
312,jorhat
313,golaghat
314,karbi_anglong
315,dima_hasao
316,cachar
317,karimganj
318,hailakandi
319,bongaigaon
320,chirang
321,kamrup
322,kamrup_metropolitan
323,nalbari
324,baksa
325,darrang
326,udalguri
327,darjiling
328,jalpaiguri
329,koch_bihar
330,uttar_dinajpur
331,dakshin_dinajpur
332,maldah
333,murshidabad
334,birbhum
335,barddhaman
336,nadia
337,north_twenty_four_parganas
338,hugli
339,bankura
340,puruliya
341,haora
342,kolkata
343,south_twenty_four_parganas
344,paschim_medinipur
345,purba_medinipur
346,garhwa
347,chatra
348,kodarma
349,giridih
350,deoghar
351,godda
352,sahibganj
353,pakur
354,dhanbad
355,bokaro
356,lohardaga
357,purbi_singhbhum
358,palamu
359,latehar
360,hazaribagh
361,ramgarh
362,dumka
363,jamtara
364,ranchi
365,khunti
366,gumla
367,simdega
368,pashchimi_singhbhum
369,saraikela-kharsawan
370,bargarh
371,jharsuguda
372,sambalpur
373,debagarh
374,sundargarh
375,kendujhar
376,mayurbhanj
377,baleshwar
378,bhadrak
379,kendrapara
380,jagatsinghapur
381,cuttack
382,jajapur
383,dhenkanal
384,anugul
385,nayagarh
386,khordha
387,puri
388,ganjam
389,gajapati
390,kandhamal
391,baudh
392,subarnapur
393,balangir
394,nuapada
395,kalahandi
396,rayagada
397,nabarangapur
398,koraput
399,malkangiri
400,koriya
401,surguja
402,jashpur
403,raigarh
404,korba
405,janjgir_-_champa
406,bilaspur
407,kabeerdham
408,rajnandgaon
409,durg
410,raipur
411,mahasamund
412,dhamtari
413,uttar_bastar_kanker
414,bastar
415,narayanpur
416,dakshin_bastar_dantewada
417,bijapur
418,sheopur
419,morena
420,bhind
421,gwalior
422,datia
423,shivpuri
424,tikamgarh
425,chhatarpur
426,panna
427,sagar
428,damoh
429,satna
430,rewa
431,umaria
432,neemuch
433,mandsaur
434,ratlam
435,ujjain
436,shajapur
437,dewas
438,dhar
439,indore
440,khargone_west_nimar
441,barwani
442,rajgarh
443,vidisha
444,bhopal
445,sehore
446,raisen
447,betul
448,harda
449,hoshangabad
450,katni
451,jabalpur
452,narsimhapur
453,dindori
454,mandla
455,chhindwara
456,seoni
457,balaghat
458,guna
459,ashoknagar
460,shahdol
461,anuppur
462,sidhi
463,singrauli
464,jhabua
465,alirajpur
466,khandwa_east_nimar
467,burhanpur
468,kachchh
469,banas_kantha
470,patan
471,mahesana
472,sabar_kantha
473,gandhinagar
474,ahmadabad
475,surendranagar
476,rajkot
477,jamnagar
478,porbandar
479,junagadh
480,amreli
481,bhavnagar
482,anand
483,kheda
484,panch_mahals
485,dohad
486,vadodara
487,narmada
488,bharuch
489,the_dangs
490,navsari
491,valsad
492,surat
493,tapi
494,diu
495,daman
496,dadra_nagar_haveli
497,nandurbar
498,dhule
499,jalgaon
500,buldana
501,akola
502,washim
503,amravati
504,wardha
505,nagpur
506,bhandara
507,gondiya
508,gadchiroli
509,chandrapur
510,yavatmal
511,nanded
512,hingoli
513,parbhani
514,jalna
515,aurangabad
516,nashik
517,thane
518,mumbai_suburban
519,mumbai
520,raigarh
521,pune
522,ahmadnagar
523,bid
524,latur
525,osmanabad
526,solapur
527,satara
528,ratnagiri
529,sindhudurg
530,kolhapur
531,sangli
532,adilabad
533,nizamabad
534,karimnagar
535,medak
536,hyderabad
537,rangareddy
538,mahbubnagar
539,nalgonda
540,warangal
541,khammam
542,srikakulam
543,vizianagaram
544,visakhapatnam
545,east_godavari
546,west_godavari
547,krishna
548,guntur
549,prakasam
550,sri_potti_sriramulu_nellore
551,y.s.r.
552,kurnool
553,anantapur
554,chittoor
555,belgaum
556,bagalkot
557,bijapur
558,bidar
559,raichur
560,koppal
561,gadag
562,dharwad
563,uttara_kannada
564,haveri
565,bellary
566,chitradurga
567,davanagere
568,shimoga
569,udupi
570,chikmagalur
571,tumkur
572,bangalore
573,mandya
574,hassan
575,dakshina_kannada
576,kodagu
577,mysore
578,chamarajanagar
579,gulbarga
580,yadgir
581,kolar
582,chikkaballapura
583,bangalore_rural
584,ramanagara
585,north_goa
586,south_goa
587,lakshadweep
588,kasaragod
589,kannur
590,wayanad
591,kozhikode
592,malappuram
593,palakkad
594,thrissur
595,ernakulam
596,idukki
597,kottayam
598,alappuzha
599,pathanamthitta
600,kollam
601,thiruvananthapuram
602,thiruvallur
603,chennai
604,kancheepuram
605,vellore
606,tiruvannamalai
607,viluppuram
608,salem
609,namakkal
610,erode
611,the_nilgiris
612,dindigul
613,karur
614,tiruchirappalli
615,perambalur
616,ariyalur
617,cuddalore
618,nagapattinam
619,thiruvarur
620,thanjavur
621,pudukkottai
622,sivaganga
623,madurai
624,theni
625,virudhunagar
626,ramanathapuram
627,thoothukkudi
628,tirunelveli
629,kanniyakumari
630,dharmapuri
631,krishnagiri
632,coimbatore
633,tiruppur
634,yanam
635,puducherry
636,mahe
637,karaikal
638,nicobars
639,north_middle_andaman
640,south_andaman
