,state_name,sector_abbr,year,ann_installs,cum_installs,p,p_SE,q,q_SE,m,status,p_sig,q_sig,state_id
29,jharkhand,res,2018,0.01781649235366917,0.10689895412201501,0.013198851437572276,0.0022350423946800317,0.10000000000001379,0.040224438491331754,0.01781649235366917,Converged w/ bounds,True,True,20
30,karnataka,com,2018,0.010022730211138775,0.06013638126683265,0.007122530833569913,0.0013900894817890348,0.10000000000004303,0.04545581173722345,0.010022730211138775,Converged w/ bounds,True,True,29
31,karnataka,ind,2018,0.18906869105557053,1.1344121463334231,0.07004015997435022,0.044689062199314226,0.5891245599520268,0.277035298814107,0.18906869105557053,Converged w/ bounds,False,True,29
32,karnataka,res,2018,0.025662287911818318,0.1539737274709099,0.019848723689595043,0.0028219118117888517,0.10000001565760809,0.034536514239645696,0.025662287911818318,Converged w/ bounds,True,True,29
33,kerala,com,2018,0.01590437716587695,0.09542626299526169,0.011661284038049977,0.002049788872652514,0.10000000000000002,0.04154398227969259,0.01590437716587695,Converged w/ bounds,True,True,32
34,kerala,ind,2018,0.02025177022934761,0.12151062137608566,0.015203190163040996,0.002448203768810817,0.10000002469413602,0.038507448373451506,0.02025177022934761,Converged w/ bounds,True,True,32
35,kerala,res,2018,0.022615185769038967,0.1356911146142338,0.017199142223317705,0.0026291312960220023,0.10000000000021776,0.03680029203770662,0.022615185769038967,Converged w/ bounds,True,True,32
36,madhya_pradesh,com,2018,0.015320087752690809,0.09192052651614485,0.011197685887282054,0.0019901819962083143,0.10000002480472163,0.041942272753893985,0.015320087752690809,Converged w/ bounds,True,True,23
37,madhya_pradesh,ind,2018,0.7999999999256424,4.7999999995538545,0.08704251465815845,0.5745373343941061,0.6999999999,3.329109631838277,0.7999999999256424,Converged w/ bounds,False,False,23
38,madhya_pradesh,res,2018,0.01685547018144666,0.10113282108867996,0.012422154820489037,0.0021438406276873575,0.10000000000000002,0.04089070816746342,0.01685547018144666,Converged w/ bounds,True,True,23
39,maharashtra,com,2018,0.023740636317001303,0.1424438179020078,0.01816762204105764,0.002705813448804734,0.10000000000000002,0.035972607417886514,0.023740636317001303,Converged w/ bounds,True,True,27
40,maharashtra,ind,2018,0.22215218829966651,1.332913129797999,0.06312416854793187,0.059868983224354626,0.6698584104314973,0.4092190044420023,0.22215218829966651,Converged w/ bounds,False,False,27
41,maharashtra,res,2018,0.016491969472228987,0.09895181683337392,0.012130444997163169,0.002108334727872748,0.10000000000000002,0.041141094807147366,0.016491969472228987,Converged w/ bounds,True,True,27
42,manipur,com,2018,0.014678541585312697,0.0880712495118762,0.010691913437180352,0.0019231614481070673,0.1000000000000442,0.04237718038005369,0.014678541585312697,Converged w/ bounds,True,True,14
43,manipur,ind,2018,0.7838976499289911,4.703385899573947,0.08672350225118351,0.5587727722503765,0.6999999999,3.244204092995569,0.7838976499289911,Converged w/ bounds,False,False,14
44,manipur,res,2018,0.015906076343815273,0.09543645806289164,0.011662636339634524,0.0020499601944683823,0.10000000000000112,0.04154282089454411,0.015906076343815273,Converged w/ bounds,True,True,14
45,meghalaya,com,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,17
46,meghalaya,ind,2018,0.1115154415803266,0.6690926494819596,0.08385453769452408,0.009992747320339843,0.28297076921407555,0.041486588229093284,0.1115154415803266,Converged w/ bounds,True,True,17
47,meghalaya,res,2018,0.01405575141023881,0.08433450846143285,0.010204224255485596,0.0018565544075194083,0.10000000000003774,0.042796803831133545,0.01405575141023881,Converged w/ bounds,True,True,17
48,mizoram,com,2018,0.014277506577537106,0.08566503946522264,0.010377502408422801,0.0018804439579268126,0.10000000000005373,0.042647684665730844,0.014277506577537106,Converged w/ bounds,True,True,15
49,mizoram,ind,2018,0.31150660574213995,1.86903963445284,0.06775446833465572,0.12277050140178843,0.6999999999999978,0.8170292352163593,0.31150660574213995,Converged w/ bounds,False,False,15
50,mizoram,res,2018,0.014950973120640322,0.08970583872384193,0.010906249624345585,0.0019518203592556922,0.10000000080788168,0.04219288274759228,0.014950973120640322,Converged w/ bounds,True,True,15
51,nagaland,com,2018,0.014603426024322162,0.08762055614593296,0.010632919143512096,0.001915208130614671,0.10000000000000002,0.04242793257060268,0.014603426024322162,Converged w/ bounds,True,True,13
52,nagaland,ind,2018,0.010932535896608211,0.06559521537964927,0.007806356464279404,0.0015004549045967294,0.10000000407197655,0.04486457924346291,0.010932535896608211,Converged w/ bounds,True,True,13
53,nagaland,res,2018,0.015473966622616235,0.09284379973569742,0.011319480426488797,0.002006012886832622,0.10000000355937036,0.04183765658041534,0.015473966622616235,Converged w/ bounds,True,True,13
54,puducherry,com,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,34
55,puducherry,ind,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,34
56,puducherry,res,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,34
57,punjab,com,2018,0.010093330115146267,0.0605599806908776,0.007175354856499864,0.0013987568742081142,0.10000000000000005,0.04541015101665199,0.010093330115146267,Converged w/ bounds,True,True,3
58,punjab,ind,2018,0.0664903828183184,0.39894229690991045,0.06218493222310796,0.0015504680477833653,0.1129352668925628,0.007095462779923449,0.0664903828183184,Converged w/ bounds,True,True,3
59,punjab,res,2018,0.010290990671891752,0.06174594403135051,0.007323483215025034,0.0014229315954685468,0.10000000078709875,0.045281992556235266,0.010290990671891752,Converged w/ bounds,True,True,3
60,rajasthan,com,2018,0.0477190678077241,0.2863144068463446,0.04182970657401554,0.002489486279273933,0.1000000001,0.015670915859394587,0.0477190678077241,Converged w/ bounds,True,True,8
61,rajasthan,ind,2018,0.32815421276961265,1.968925276617676,0.069056063137356,0.1363727964498142,0.6999999999999998,0.8978720118062997,0.32815421276961265,Converged w/ bounds,False,False,8
62,rajasthan,res,2018,0.017937444837776505,0.10762466902665904,0.01329716625275572,0.0022462428442286807,0.10000000144609812,0.040140151076903566,0.017937444837776505,Converged w/ bounds,True,True,8
63,sikkim,com,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,11
64,sikkim,ind,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,11
65,sikkim,res,2018,0.013919806295614363,0.08351883777368617,0.010098194439754182,0.001841815130727429,0.10000000000009611,0.04288808130051599,0.013919806295614363,Converged w/ bounds,True,True,11
66,tamil_nadu,com,2018,0.010009249014679969,0.060055494088079815,0.007112448074938794,0.0013884324637485107,0.10000000000000472,0.04546452909911138,0.010009249014679969,Converged w/ bounds,True,True,33
67,tamil_nadu,ind,2018,0.16149419224152642,0.9689651534491585,0.07671661777233446,0.031223333004486636,0.5021255161623711,0.17430894033279434,0.16149419224152642,Converged w/ bounds,True,True,33
68,tamil_nadu,res,2018,0.016809021005654574,0.10085412603392743,0.012384818509890073,0.0021393342125149407,0.10000000000002322,0.0409227459894354,0.016809021005654574,Converged w/ bounds,True,True,33
69,tripura,com,2018,0.017742440436075386,0.10645464261645231,0.013138719607710826,0.0022281541227886846,0.10000000015535837,0.04027599972446777,0.017742440436075386,Converged w/ bounds,True,True,16
70,tripura,ind,2018,0.039572810277397716,0.23743686166438632,0.03311245553445449,0.0030134026475036255,0.10000000000039548,0.02318023320891536,0.039572810277397716,Converged w/ bounds,True,True,16
71,tripura,res,2018,0.016286136371978985,0.0977168182318739,0.011965761259395408,0.0020879871648766227,0.10000000000000002,0.04128249519139027,0.016286136371978985,Converged w/ bounds,True,True,16
72,uttar_pradesh,com,2018,0.015806799594824904,0.09484079756894943,0.01158364665408236,0.0020399299933581104,0.10000000000000003,0.041610700485971513,0.015806799594824904,Converged w/ bounds,True,True,9
73,uttar_pradesh,ind,2018,0.023813565569036188,0.14288139341421713,0.018230784634438276,0.0027105646964436167,0.10000000000000465,0.03591863977518171,0.023813565569036188,Converged w/ bounds,True,True,9
74,uttar_pradesh,res,2018,0.01688584195259115,0.10131505171554692,0.012446571594458484,0.002146782321821379,0.10000000000000002,0.040869770097137645,0.01688584195259115,Converged w/ bounds,True,True,9
75,west_bengal,com,2018,0.014848113919064586,0.08908868351438752,0.010825253360966217,0.0019410343019464443,0.10000000000000002,0.04226251794936714,0.014848113919064586,Converged w/ bounds,True,True,19
76,west_bengal,ind,2018,0.027447470060166557,0.16468482036099935,0.021441954843425842,0.002912260546769233,0.10000000000002313,0.03317582207520921,0.027447470060166557,Converged w/ bounds,True,True,19
77,west_bengal,res,2018,0.016391103929089917,0.09834662357453951,0.01204970043625417,0.002098385528906044,0.10000000000000002,0.04121041695145591,0.016391103929089917,Converged w/ bounds,True,True,19
