state_id,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
24.0,2912.3628080406893,2917.235775018401,2922.116895447015,2927.00618296889,2931.9036512492103,2813.2763150807896,2662.78590402288,2565.09657216574,2562.72559043403,2796.28856405155,2792.20582362815,2838.55454080527,2867.9942882431105,2807.7997113761303,3055.29799413154,2809.86660785683,2798.11238301769,2806.68281151106,2723.1838294077697,3003.7556078695,2916.13174271072,2964.34858183894,2966.37291234061,2962.1271853552003,3027.48717492825,3139.4913600419395,3134.09779184928,3116.0607331085603,3101.16189092736,3091.08862912974,3085.2833603863396,3082.2983646600105,3077.08037230115,3168.18577283993,3259.29117337871,3353.016431022615,3449.4368832512096
6.0,2855.5447491267887,2864.3165488255677,2873.115294160544,2881.9410679046196,2890.7939530849603,2771.2689681662105,2620.29390617202,2523.0486839956798,2520.7771107413896,2748.38982026636,2746.8186054205,2799.58412410234,2834.73476509594,2781.1985618795397,3022.5330727610103,2781.31701994182,2774.09215798393,2827.83061802637,2742.96387100848,3111.47467483392,2983.92037935109,3038.69712554557,3107.74477984055,3139.93619988021,3209.5493510381702,3269.2158431571897,3284.3343891969002,3276.7276223478198,3265.64111727203,3265.6228084662202,3276.05360462374,3271.54888423786,3273.5164956067497,3346.4297186700605,3419.342941733371,3493.84482451597,3569.9699813113643
2.0,2823.0556730606304,2830.0356590320694,2837.0329029714,2844.04744754883,2851.07933554007,2728.60619707045,2577.97186828734,2476.9304221267103,2472.85141293922,2701.04373998647,2697.6286401616103,2745.7039661122303,2770.8133123411894,2716.95935671195,2942.5205160210303,2706.12725414586,2691.61900867158,2742.22090257105,2667.55507174454,3036.62995327221,2934.79684015302,2972.8698606034495,3025.5157184500604,3062.5109708450104,3121.1349633629197,3199.0474944998805,3219.5293165483004,3213.8748984320696,3202.10745958177,3204.35966774408,3213.1110191136,3211.85087745085,3215.66381431717,3284.7067144484804,3353.749614579791,3424.2437621048416,3496.21966152147
1.0,2861.7857653200394,2864.431438857651,2867.0795582766254,2869.7301258381394,2872.3831438054603,2753.12518815872,2601.30658190381,2497.4149122146105,2494.8694836718105,2727.19878701148,2726.22905680667,2781.3308089588,2821.8850797536898,2771.9009966523804,3013.63501097284,2775.7451984040003,2774.2728795904304,2830.1265902262603,2741.88458888167,3111.40139955594,2966.05495834019,3005.09969390675,3071.2020471871697,3101.9180494223806,3161.0461604497805,3212.5437397313,3237.2159937280394,3194.2137991267605,3106.35134594461,3044.7240043337897,3056.42544765461,3051.44884082886,3051.6872496354804,3230.80464670632,3409.9220437771596,3598.969797351027,3798.498451271736
20.0,2829.248857423769,2831.884483892122,2834.5225656152897,2837.1631048804998,2839.80610397711,2718.244452779,2565.24361861752,2460.74123905128,2454.22561040034,2675.97818333575,2657.0695157137698,2709.18034410539,2739.7492321809,2686.67989041679,2918.8128600753103,2677.0454566348103,2657.15346743274,2618.8518462310603,2519.06148505399,2779.5485089826598,2745.1750150934304,2823.6390379881104,2834.44085240271,2822.8049576145695,2843.43900530198,2977.35398688348,3011.62588768158,3003.0308171372303,2966.33149352563,2956.23731429616,2960.82444993044,2943.6111569121804,2956.87230840479,3026.38939748512,3095.90648656545,3167.0204044207608,3239.7678306958774
29.0,2896.8358798381923,2899.2427093060696,2901.6515384827076,2904.06236902956,2906.4752026094607,2780.8218037642796,2632.55525894847,2527.28304241393,2516.9591264963897,2738.2407463494396,2732.1113167878398,2788.10765884476,2817.4333620110997,2761.52712053274,3000.6751800249604,2770.64572524769,2768.6859761935802,2743.5854462340303,2612.34650480778,2919.0206153131,2847.2910071196898,2921.6631795370195,2931.23688595331,2935.8859666486,2972.63417965615,3080.19671631706,3085.1720131219,3060.15481292018,3061.1580105598805,3034.4748078030602,3054.6491076380103,3039.6789345871603,3064.7006384884803,3155.37328781487,3246.0459371412594,3339.3241511935767,3435.2828033497535
32.0,2877.312764168928,2878.1181253813434,2878.923712014746,2879.7295241322304,2880.5355617969103,2760.33141978016,2613.83835025004,2508.09144594342,2500.4967746038897,2721.38653490901,2715.2691092159603,2769.45786835775,2794.82184149466,2738.45804166662,2971.81400299015,2749.36309870143,2747.56781471834,2729.4414130809196,2594.85906735724,2908.79515091537,2816.92041785277,2890.1284532518,2899.60962032082,2908.94338559971,2953.95119901914,3081.94474227602,3086.0207693548305,3073.67711181263,3105.89996612977,3102.8844994364504,3125.33240286076,3100.2819028361,3111.6718475605603,3247.79259195181,3383.91333634306,3525.7391424120615,3673.509119406214
23.0,2851.257794215806,2862.289254432377,2873.363395151131,2884.48038150209,2895.64037925416,2775.9194010343,2623.60745415548,2516.6713649336302,2513.8472693048,2744.6188062315,2737.27297173254,2779.25677195945,2805.99333311779,2746.77522729945,2985.4840649185603,2736.0282791588897,2715.01805670328,2673.21242543755,2563.6509560939803,2843.4186604308898,2805.189194213,2878.3812448201197,2886.0503248300397,2878.83219105708,2904.3024974527802,3043.02150810342,3084.41180327798,3073.8024205670504,3037.39808322627,3025.66213181975,3038.26032359753,3015.6712433381604,3023.4627950557897,3103.76259983589,3184.0624046159896,3266.4397067691375,3350.948254811245
27.0,2979.8520025135017,2979.335150115588,2978.8183873652133,2978.3017142468298,2977.78513074489,2859.8176539100605,2710.5559049107997,2602.63899887335,2598.6818356305102,2831.28904363094,2826.59552606166,2883.3130717906397,2910.84284593073,2853.9144332319897,3101.7471347744604,2843.39438082183,2820.76288588041,2777.6853225918603,2664.9621401995,2978.8903953166496,2930.42280391861,3008.8107715475703,3025.50204740618,3018.7705827927302,3048.6599296607105,3201.8097751743394,3267.3549572283196,3244.60500585424,3247.3207673775605,3223.26378690254,3247.39156879073,3242.3036159398303,3275.1003699311304,3368.87184311355,3462.6433162959693,3559.0248885240903,3658.089211072305
14.0,2849.8114333186118,2859.5026385277083,2869.226800113254,2878.98403014828,2888.7744410869395,2768.31350757923,2606.68952131151,2489.09876503103,2485.86889483144,2712.7729105796498,2678.7611910463,2718.18942457317,2757.34183549322,2704.4122130438896,2895.24935351747,2672.32676485384,2652.13947727936,2618.61589061439,2533.92691447955,2729.64986526045,2769.5987133383,2829.65712668802,2834.93766014859,2824.0673180350605,2841.75626524281,2973.0961292636894,2999.13366478049,2986.0530444223305,2952.74796859755,2935.07182014472,2936.06728444221,2911.9677863802003,2923.0016974120504,2992.40057663598,3061.7994558599094,3132.807813599229,3205.462976409073
