sector_abbr,state_id,year,nem_system_size_limit_kw
res,28,2048,20000.0
res,28,2049,20000.0
res,28,2050,20000.0
res,29,2015,20000.0
res,29,2016,20000.0
res,29,2017,20000.0
res,29,2018,20000.0
res,29,2019,20000.0
res,29,2020,20000.0
res,29,2021,20000.0
res,29,2022,20000.0
res,29,2023,20000.0
res,29,2024,20000.0
res,29,2025,20000.0
res,29,2026,20000.0
res,29,2027,20000.0
res,29,2028,20000.0
res,29,2029,20000.0
res,29,2030,20000.0
res,29,2031,20000.0
res,29,2032,20000.0
res,29,2033,20000.0
res,29,2034,20000.0
res,29,2035,20000.0
res,29,2036,20000.0
res,29,2037,20000.0
res,29,2038,20000.0
res,29,2039,20000.0
res,29,2040,20000.0
res,29,2041,20000.0
res,29,2042,20000.0
res,29,2043,20000.0
res,29,2044,20000.0
res,29,2045,20000.0
res,29,2046,20000.0
res,29,2047,20000.0
res,29,2048,20000.0
res,29,2049,20000.0
res,29,2050,20000.0
res,30,2015,20000.0
res,30,2016,20000.0
res,30,2017,20000.0
res,30,2018,20000.0
res,30,2019,20000.0
res,30,2020,20000.0
res,30,2021,20000.0
res,30,2022,20000.0
res,30,2023,20000.0
res,30,2024,20000.0
res,30,2025,20000.0
res,30,2026,20000.0
res,30,2027,20000.0
res,30,2028,20000.0
res,30,2029,20000.0
res,30,2030,20000.0
res,30,2031,20000.0
res,30,2032,20000.0
res,30,2033,20000.0
res,30,2034,20000.0
res,30,2035,20000.0
res,30,2036,20000.0
res,30,2037,20000.0
res,30,2038,20000.0
res,30,2039,20000.0
res,30,2040,20000.0
res,30,2041,20000.0
res,30,2042,20000.0
res,30,2043,20000.0
res,30,2044,20000.0
res,30,2045,20000.0
res,30,2046,20000.0
res,30,2047,20000.0
res,30,2048,20000.0
res,30,2049,20000.0
res,30,2050,20000.0
res,31,2015,20000.0
res,31,2016,20000.0
res,31,2017,20000.0
res,31,2018,20000.0
res,31,2019,20000.0
res,31,2020,20000.0
res,31,2021,20000.0
res,31,2022,20000.0
res,31,2023,20000.0
res,31,2024,20000.0
res,31,2025,20000.0
res,31,2026,20000.0
res,31,2027,20000.0
res,31,2028,20000.0
res,31,2029,20000.0
res,31,2030,20000.0
res,31,2031,20000.0
res,31,2032,20000.0
res,31,2033,20000.0
res,31,2034,20000.0
res,31,2035,20000.0
res,31,2036,20000.0
res,31,2037,20000.0
res,31,2038,20000.0
res,31,2039,20000.0
res,31,2040,20000.0
res,31,2041,20000.0
res,31,2042,20000.0
res,31,2043,20000.0
res,31,2044,20000.0
res,31,2045,20000.0
res,31,2046,20000.0
res,31,2047,20000.0
res,31,2048,20000.0
res,31,2049,20000.0
res,31,2050,20000.0
res,32,2015,20000.0
res,32,2016,20000.0
res,32,2017,20000.0
res,32,2018,20000.0
res,32,2019,20000.0
res,32,2020,20000.0
res,32,2021,20000.0
res,32,2022,20000.0
res,32,2023,20000.0
res,32,2024,20000.0
res,32,2025,20000.0
res,32,2026,20000.0
res,32,2027,20000.0
res,32,2028,20000.0
res,32,2029,20000.0
res,32,2030,20000.0
res,32,2031,20000.0
res,32,2032,20000.0
res,32,2033,20000.0
res,32,2034,20000.0
res,32,2035,20000.0
res,32,2036,20000.0
res,32,2037,20000.0
res,32,2038,20000.0
res,32,2039,20000.0
res,32,2040,20000.0
res,32,2041,20000.0
res,32,2042,20000.0
res,32,2043,20000.0
res,32,2044,20000.0
res,32,2045,20000.0
res,32,2046,20000.0
res,32,2047,20000.0
res,32,2048,20000.0
res,32,2049,20000.0
res,32,2050,20000.0
res,33,2015,20000.0
res,33,2016,20000.0
res,33,2017,20000.0
res,33,2018,20000.0
res,33,2019,20000.0
res,33,2020,20000.0
res,33,2021,20000.0
res,33,2022,20000.0
res,33,2023,20000.0
res,33,2024,20000.0
res,33,2025,20000.0
res,33,2026,20000.0
res,33,2027,20000.0
res,33,2028,20000.0
res,33,2029,20000.0
res,33,2030,20000.0
res,33,2031,20000.0
res,33,2032,20000.0
