Year 1 hourly electric load (kWh),Year 1 hourly sales/purchases without sytem ($),Hourly energy charge TOU period,Hourly demand charge TOU period,Hourly Energy (kWh)
750.132,-54.3996,1,1,0.332917
763.945,-55.4013,1,1,0.150854
816.571,-59.2177,1,1,0.00259534
789.831,-57.2786,1,1,0
347.93,-25.2319,1,1,0
323.485,-23.4592,1,1,0
323.485,-23.4592,1,1,0
299.042,-21.6865,1,1,0
274.596,-19.9137,1,1,0
250.151,-18.141,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.1409,1,1,0
274.596,-19.9137,1,1,0
323.484,-23.4591,1,1,0
322.297,-23.373,1,1,0.000120923
296.666,-27.1509,2,1,0.0213248
260,-23.7952,2,1,0.150709
211.111,-19.3209,2,1,0.303725
211.112,-19.321,2,1,0.409518
211.112,-19.321,2,1,0.545895
211.113,-19.3211,2,1,0.5258
211.112,-19.321,2,1,0.403182
211.111,-19.3209,2,1,0.231193
260,-23.7952,2,1,0.0934296
322.297,-29.4966,2,1,0
347.928,-31.8424,2,1,0
323.484,-29.6052,2,1,0
323.484,-29.6052,2,1,0
299.041,-21.6864,1,1,0
274.595,-19.9136,1,1,0
250.151,-18.1409,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
237.929,-17.2546,1,1,0
250.151,-18.1409,1,1,0
274.596,-19.9137,1,1,0
323.484,-23.4591,1,1,0
322.297,-23.373,1,1,1.29E-05
296.666,-27.1509,2,1,0.0111765
260,-23.7952,2,1,0.102526
211.111,-19.3209,2,1,0.374149
211.112,-19.321,2,1,0.618152
211.112,-19.321,2,1,0.549146
211.113,-19.3211,2,1,0.554079
211.112,-19.321,2,1,0.43632
211.111,-19.3209,2,1,0.259967
260,-23.7952,2,1,0.018405
322.297,-29.4966,2,1,0
347.928,-31.8424,2,1,0
323.484,-29.6052,2,1,0
323.484,-29.6052,2,1,0
299.041,-21.6864,1,1,0
274.595,-19.9136,1,1,0
250.151,-18.1409,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.989,-31.1828,1,1,0
528.251,-38.3088,1,1,0.000240227
1050.65,-96.1558,2,1,0.1505
1013.95,-92.7966,2,1,0.391645
965.718,-88.3825,2,1,0.40947
1077.31,-98.5952,2,1,0.573946
1100.06,-100.677,2,1,0.525449
1241.17,-113.591,2,1,0.420875
1338.05,-122.458,2,1,0.420347
1352.75,-123.803,2,1,0.238189
1394.41,-127.617,2,1,0.0254307
1226.8,-112.277,2,1,0
938.848,-85.9234,2,1,0
762.54,-69.7876,2,1,0
579.073,-52.9967,2,1,0
554.636,-40.2222,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
430.038,-31.1863,1,1,0
528.306,-38.3128,1,1,0.000275288
1050.72,-96.1618,2,1,0.190446
1013.98,-92.7996,2,1,0.36535
965.534,-88.3656,2,1,0.353182
967.766,-88.5699,2,1,0.559335
950.828,-87.0198,2,1,0.585449
1146.18,-104.898,2,1,0.548398
1277.2,-116.889,2,1,0.441891
1316.84,-120.518,2,1,0.318425
1370.61,-125.438,2,1,0.0978486
1193.12,-109.195,2,1,0
896.054,-82.0069,2,1,0
829.637,-75.9284,2,1,0
603.031,-55.1894,2,1,0
554.654,-40.2235,1,1,0
349.357,-25.3353,1,1,0
299.992,-21.7554,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
287.77,-20.8691,1,1,0
299.992,-21.7554,1,1,0
349.358,-25.3354,1,1,0
429.992,-31.183,1,1,0
528.281,-38.311,1,1,0.0242535
1050.67,-96.1576,2,1,0.205508
1013.96,-92.7978,2,1,0.433392
965.075,-88.3237,2,1,0.519974
1012.99,-92.7089,2,1,0.576297
1036.86,-94.8938,2,1,0.504598
