parameter 
	 eLoad(T) 
			 / 
		677	250.151
		678	274.596
		679	323.484
		680	322.297
		681	296.666
		682	260
		683	211.111
		684	211.112
		685	211.112
		686	329.069
		687	328.592
		688	285.949
		689	260
		690	305.21
		691	347.928
		692	323.484
		693	323.484
		694	299.041
		695	274.595
		696	250.151
		697	287.77
		698	287.77
		699	287.77
		700	287.77
		701	299.992
		702	349.358
		703	429.877
		704	528.309
		705	1050.79
		706	1014.11
		707	965.177
		708	965.175
		709	915.313
		710	965.103
		711	965.097
		712	965.03
		713	1013.92
		714	909.64
		715	766.095
		716	728.648
		717	579.181
		718	554.762
		719	349.357
		720	299.992
		721	287.77
		722	287.77
		723	287.77
		724	287.77
		725	299.992
		726	351.091
		727	430.079
		728	519.899
		729	1050.78
		730	1014.01
		731	965.099
		732	965.545
		733	916.874
		734	967.774
		735	968.043
		736	967.921
		737	1015.33
		738	909.625
		739	753.036
		740	741.627
		741	579.127
		742	554.702
		743	349.357
		744	299.992
		745	287.77
		746	287.77
		747	287.77
		748	287.77
		749	299.992
		750	349.358
		751	512.618
		752	608.236
		753	1178.91
		754	1306.88
		755	1430.01
		756	1449.62
		757	1404.76
		758	1467.54
		759	1476.6
		760	1481.4
		761	1527.04
		762	1410.56
		763	1241.29
		764	1211.44
		765	1053.91
		766	1005.26
		767	349.357
		768	299.992
		769	287.77
		770	287.77
		771	287.77
		772	287.77
		773	299.992
		774	349.358
		775	429.867
		776	545.603
		777	1157.97
		778	1239.38
		779	1365.03
		780	1442.02
		781	1412.8
		782	1482.29
		783	1498.62
		784	1501.36
		785	1541.52
		786	1415.93
		787	1235.58
		788	1194.76
		789	1018.82
		790	943.257
		791	349.357
		792	299.992
		793	287.77
		794	287.77
		795	287.77
		796	287.77
		797	299.992
		798	349.358
		799	430.45
		800	519.56
		801	1050.59
		802	1132.55
		803	1199.23
		804	1367.72
		805	1379.37
		806	1444.81
		807	1437.58
		808	1431.8
		809	1470.3
		810	1350.43
		811	1182.45
		812	1147.68
		813	949.587
		814	879.599
		815	349.357
		816	299.992
		817	237.929
		818	237.929
		819	237.929
		820	237.929
		821	250.151
		822	274.597
		823	430.405
		824	419.88
		825	651.916
		826	615.201
		827	703.812
		828	768.733
		829	784.245
		830	786.733
		831	626.283
		832	626.445
		833	732.842
		834	627.545
		835	347.93
		836	323.485
		837	323.485
		838	299.042
		839	274.596
		840	250.151
		841	237.929
		842	237.929
		843	237.929
		844	237.929
		845	250.151
		846	274.596
		847	323.484
		848	313.754
		849	296.666
		850	260
		851	211.111
		852	300.943
		853	424.118
		854	518.631
		855	509.607
		856	570.093
		857	426.125
		858	305.21
		859	347.928
		860	323.484
		861	323.484
		862	299.041
		863	274.595
		864	250.151
		865	287.77
		866	287.77
		867	287.77
		868	287.77
		869	299.992
		870	349.358
		871	432.383
		872	519.683
		873	1050.68
		874	1045.67
		875	1183.05
		876	1272.68
		877	1275.9
		878	1316.27
		879	1220.49
		880	1133.65
		881	1098.31
		882	909.636
		883	753.035
		884	728.608
		885	579.136
		886	567.733
		887	349.357
		888	299.992
		889	287.77
