scenario,year,sector_abbr,country_abbr,control_reg_id,load_multiplier
High,2017,ind,MEX,8,1.067843115
High,2017,ind,MEX,9,1.125858396
Planning,2018,res,MEX,1,1.081139283
Planning,2018,res,MEX,2,1.080856333
Planning,2018,res,MEX,3,1.091573354
Planning,2018,res,MEX,4,1.141500313
Planning,2018,res,MEX,5,1.09950528
Planning,2018,res,MEX,6,1.107567047
Planning,2018,res,MEX,7,1.077796625
Planning,2018,res,MEX,8,1.082825216
Planning,2018,res,MEX,9,1.169794526
Low,2018,res,MEX,1,1.063798706
Low,2018,res,MEX,2,1.062191564
Low,2018,res,MEX,3,1.079005869
Low,2018,res,MEX,4,1.128520502
Low,2018,res,MEX,5,1.087230944
Low,2018,res,MEX,6,1.089185212
Low,2018,res,MEX,7,1.069068898
Low,2018,res,MEX,8,1.065438223
Low,2018,res,MEX,9,1.151049594
High,2018,res,MEX,1,1.110540771
High,2018,res,MEX,2,1.107318595
High,2018,res,MEX,3,1.109213488
High,2018,res,MEX,4,1.157065169
High,2018,res,MEX,5,1.118835362
High,2018,res,MEX,6,1.135583065
High,2018,res,MEX,7,1.10668175
High,2018,res,MEX,8,1.113741976
High,2018,res,MEX,9,1.19271663
Planning,2018,com,MEX,1,1.081139283
Planning,2018,com,MEX,2,1.080856333
Planning,2018,com,MEX,3,1.091573354
Planning,2018,com,MEX,4,1.141500313
Planning,2018,com,MEX,5,1.09950528
Planning,2018,com,MEX,6,1.107567047
Planning,2018,com,MEX,7,1.077796625
Planning,2018,com,MEX,8,1.082825216
Planning,2018,com,MEX,9,1.169794526
Low,2018,com,MEX,1,1.063798706
Low,2018,com,MEX,2,1.062191564
Low,2018,com,MEX,3,1.079005869
Low,2018,com,MEX,4,1.128520502
Low,2018,com,MEX,5,1.087230944
Low,2018,com,MEX,6,1.089185212
Low,2018,com,MEX,7,1.069068898
Low,2018,com,MEX,8,1.065438223
Low,2018,com,MEX,9,1.151049594
High,2018,com,MEX,1,1.110540771
High,2018,com,MEX,2,1.107318595
High,2018,com,MEX,3,1.109213488
High,2018,com,MEX,4,1.157065169
High,2018,com,MEX,5,1.118835362
High,2018,com,MEX,6,1.135583065
High,2018,com,MEX,7,1.10668175
High,2018,com,MEX,8,1.113741976
High,2018,com,MEX,9,1.19271663
Planning,2018,ind,MEX,1,1.081139283
