,micro_id,county_id,bin_id,year,state_abbr,census_division_abbr,utility_type,pca_reg,reeds_reg,incentive_array_id,elec_rate_cents_per_kwh,carbon_price_cents_per_kwh,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,installed_costs_dollars_per_kw,inverter_cost_dollars_per_kw,ann_cons_kwh,customers_in_bin,initial_customers_in_bin,load_kwh_in_bin,initial_load_kwh_in_bin,load_kwh_per_customer_in_bin,nem_system_limit_kw,excess_generation_factor,naep,aep,system_size_kw,npanels,tilt,azimuth,derate,pct_shaded,solar_re_9809_gid,density_w_per_sqft,inverter_lifetime_yrs,available_rooftop_space_sqm
294,14493,323,5,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2483.221354364797,190.8412211591542,456456.0,4.49437205548477,4.40624711322036,221016348.660582,216682694.765277,49176246.63291104,1000.0,0.592,1398.658064611153,223899.69574209934,160.08179655,615.08,0,S,0.825,0.35,51840,14.872099940511603,20,1000.0
295,14494,323,6,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2483.221354364797,190.8412211591542,17985.0,4.49437205548477,4.40624711322036,8708350.92683757,8537598.94787997,1937612.37817644,1000.0,0.604,1560.2586438431936,127179.0636663813,81.5115264179,313.190573505,25,S,0.825,0.35,51839,14.872099940511603,20,1000.0
296,14495,323,7,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2483.221354364797,190.8412211591542,44076.0,3.15973393402393,3.09777836669012,15004072.250756,14709874.7556432,4748523.946650252,1000.0,0.619,1533.3681575799158,245464.32943795642,160.08179655,615.08,25,SE,0.825,0.35,52329,14.872099940511603,20,1000.0
297,14495,323,8,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2483.221354364797,190.8412211591542,351850.0,2.52461771798139,2.47511540978568,95699493.5047805,93823032.847824,37906528.51050211,1000.0,0.606,1531.4466996646483,245156.73900288518,160.08179655,615.08,25,SW,0.825,0.35,52329,14.872099940511603,20,1000.0
298,14502,323,9,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2483.221354364797,190.8412211591542,741356.0,0.29761793597943,0.291782290175912,23770721.5817817,23304629.0017468,79869922.83766322,1000.0,0.606,1492.5017823459748,238922.36667202073,160.08179655,615.08,25,SW,0.825,0.35,52330,14.872099940511603,20,1000.0
299,14502,323,10,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2483.221354364797,190.8412211591542,153125.0,1.28220801874944,1.25706668504847,21152468.0806529,20737713.8045617,16496908.279581172,1000.0,0.606,1492.5017823459748,238922.36667202073,160.08179655,615.08,25,SW,0.825,0.35,52330,14.872099940511603,20,1000.0
300,14503,324,1,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,308089.0,13.7715890991036,13.5015579402976,291287315.059516,285575799.077957,21151321.968971394,1000.0,0.613,1583.6638170514177,253515.74896482148,160.08179655,615.08,25,S,0.825,0.35,51339,14.872099940511603,20,1000.0
301,14505,324,2,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,81955.0,3.26774687505563,3.20367340691728,18385912.3871508,18025404.3011283,5626479.984572804,1000.0,0.608,1548.2475023007635,247846.24167235647,160.08179655,615.08,25,S,0.825,0.35,51341,14.872099940511603,20,1000.0
302,14510,324,3,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,5416.0,5.9624004393182,5.84549062678255,2216976.65279241,2173506.5223455,371826.19237930945,1000.0,0.624,1505.0818723428167,23172.95196150021,15.3964727018,59.1576471124,25,SE,0.825,0.35,49362,14.872099940511603,20,1000.0
303,14511,324,4,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,34499.0,4.02150777111122,3.94265467756002,9524819.24159212,9338058.07999227,2368469.684433862,1000.0,0.626,1462.9441017274291,146822.61997280808,100.361059455,385.615865015,25,SE,0.825,0.35,51342,14.872099940511603,20,1000.0
304,14515,324,5,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,24421.0,8.91119153132649,8.73646228561421,14940342.2210401,14647394.334353,1676581.876679305,1000.0,0.624,1475.3802355269772,104487.93571835058,70.8210217287,272.114600059,25,SE,0.825,0.35,50355,14.872099940511603,20,1000.0
305,14515,324,6,2016,CA,PAC,IOU,p9,25,241,6.576277152769895,0.0,0.0,0.0,2512.781204528093,193.1129630208007,1473783.0,1.02580325235358,1.00568946309175,103790818.772776,101755704.679192,101180044.55010262,1000.0,0.608,1504.0235926110356,240766.7987587599,160.08179655,615.08,25,SW,0.825,0.35,50355,14.872099940511603,20,1000.0
