,micro_id,county_id,bin_id,year,state_abbr,census_division_abbr,utility_type,pca_reg,reeds_reg,incentive_array_id,elec_rate_cents_per_kwh,carbon_price_cents_per_kwh,fixed_om_dollars_per_kw_per_yr,variable_om_dollars_per_kwh,installed_costs_dollars_per_kw,inverter_cost_dollars_per_kw,ann_cons_kwh,customers_in_bin,initial_customers_in_bin,load_kwh_in_bin,initial_load_kwh_in_bin,load_kwh_per_customer_in_bin,nem_system_limit_kw,excess_generation_factor,naep,aep,system_size_kw,npanels,tilt,azimuth,derate,pct_shaded,solar_re_9809_gid,density_w_per_sqft,inverter_lifetime_yrs,available_rooftop_space_sqm,business_model,metric,sector,loan_term_yrs,loan_rate,down_payment,discount_rate,tax_rate,length_of_irr_analysis_yrs,market_share_last_year,number_of_adopters_last_year,installed_capacity_last_year,market_value_last_year,value_of_increment,value_of_pbi_fit,value_of_ptc,pbi_fit_length,ptc_length,value_of_rebate,value_of_tax_credit_or_deduction,ic,metric_value_precise,lcoe,metric_value_bounded,metric_value_as_factor,metric_value,max_market_share,source,diffusion_market_share,market_share,new_market_share,new_adopters,new_capacity,new_market_value,number_of_adopters,installed_capacity,market_value
302,18125,341,6,2016,CA,PAC,IOU,p9,24,243,15.64870118157309,0.0,0.0,0.0,3614.3452374950334,284.5045021057122,11323.0,1330.74077123596,1304.64781493722,7499724.94012377,7352671.50992526,5635.751982828467,1000.0,0.62,1567.9065887065012,1419.8713545539638,0.905584149452,3.47951304052,25,SE,0.825,0.35,47382,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.049299738415841246,64.31879600120375,260.8636087689546,1072158.1645933187,0.0,63.89421095492837,0.0,10,10,0.0,0.0,3273.093757722827,3.307756334927611,18.466496933303212,3.307756334927611,33,3.3,0.059197369,NREL,0.05431440622539353,0.05431440622539353,0.005014667809552287,6.673222908375752,6.043164891585058,21842.084245297647,70.9920189095795,266.9067736605396,1094000.2488386163
303,18111,341,3,2016,CA,PAC,IOU,p9,24,243,15.64870118157309,0.0,0.0,0.0,3614.3452374950334,284.5045021057122,10115.0,1043.74822014245,1023.2825687671,5254749.29029917,5151714.99048939,5034.4989231042955,1000.0,0.606,1594.4912439806105,1315.121877690378,0.824790905974,3.1690823153,25,S,0.825,0.35,47884,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.0491436225760265,50.287812348117406,203.5140599583213,836449.5991738972,0.0,59.180484496067,0.0,10,10,0.0,0.0,2981.0790829363405,3.318065846189188,18.158608472362737,3.318065846189188,33,3.3,0.059197369,NREL,0.054229452192744415,0.054229452192744415,0.005085829616717913,5.30832561039708,4.378258689404395,15824.538442570021,55.59613795851449,207.8923186477257,852274.1376164672
304,18100,340,10,2016,CA,PAC,IOU,p9,24,243,15.64870118157309,0.0,0.0,0.0,3623.1251768448965,285.1956182302422,9090.0,2426.73346794742,2379.15045877198,16549968.8888791,16225459.6949795,6819.854387584385,1000.0,0.592,1499.8479632108392,1844.797891265344,1.22998992999,4.7259727367,25,SW,0.825,0.35,49880,14.872099940511603,20,1000.0,tpo,monthly_bill_savings,residential,20,0.06,0.0,0.1,0.33,0,0.0358262265071325,85.235983230513,431.266392936414,1776825.1019798247,0.0,83.01590510694048,0.0,10,10,0.0,0.0,4456.407482612461,3.272337608405974,19.35134568932602,3.272337608405974,33,3.3,0.059197369,NREL,0.045823792914345296,0.045823792914345296,0.009997566407212798,24.261428998410143,29.841313355211845,108118.81372738589,109.49741222892314,461.10770629162585,1884943.9157072105
305,16691,308,7,2016,CA,PAC,IOU,p9,29,23,14.719040173188679,0.0,0.0,0.0,3578.0685638876057,281.648970526807,5687.0,4267.5055262958,4183.82894734882,27728160.0305162,27184470.6181531,6497.510046480074,1000.0,0.594,1586.1061680730713,1748.986759297753,1.10269211135,4.23685814668,25,SE,0.825,0.35,70643,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.0542689288971701,227.051915661595,1148.80895327814,4674252.787280428,0.0,78.70440416839888,0.0,10,10,0.0,0.0,3945.507979268286,20.3,19.65272649197414,20.3,203,20.3,0.0037,Navigant,0.0542689288971701,0.0542689288971701,0.0,0.0,0.0,0.0,227.051915661595,1148.80895327814,4674252.787280428
306,16411,305,9,2016,CA,PAC,IOU,p10,31,23,14.719040173188679,0.0,0.0,0.0,3597.6963412619443,283.193978173392,4889.0,96494.6414218026,94602.5896292183,505773137.452733,495856017.110523,5241.463463674324,1000.0,0.58,1593.5455075092038,1459.537916095113,0.915906015371,3.51917259849,25,SW,0.825,0.35,72416,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.0598793809464512,5664.74450292876,28661.7674377915,117258193.21370801,0.0,65.67920622428008,0.0,10,10,0.0,0.0,3295.151720440053,20.3,19.66828260919894,20.3,203,20.3,0.0037,Navigant,0.0598793809464512,0.0598793809464512,0.0,0.0,0.0,0.0,5664.74450292876,28661.7674377915,117258193.21370801
307,16675,308,6,2016,CA,PAC,IOU,p9,29,243,15.64870118157309,0.0,0.0,0.0,3578.0685638876057,281.648970526807,5356.0,3621.641812124,3550.62922757255,22162043.105355,21727493.2405441,6119.335995946418,1000.0,0.608,1685.5004486175746,1590.390948002868,0.943571951765,3.62547303067,25,SE,0.825,0.35,69290,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.0542689288971701,192.688845091348,974.942976335385,3966830.090914007,0.0,71.56759266012907,0.0,10,10,0.0,0.0,3376.165138376419,17.4,18.493801490198074,17.4,174,17.4,0.0056,Navigant,0.0542689288971701,0.0542689288971701,0.0,0.0,0.0,0.0,192.688845091348,974.942976335385,3966830.090914007
308,21319,401,4,2016,CA,PAC,IOU,p10,33,23,14.719040173188679,0.0,0.0,0.0,3532.1255296407076,278.0325478486296,3916.0,27984.6026123395,27435.8849140583,87459284.8862216,85744396.9472761,3125.2644926841845,1000.0,0.577,1755.6620823278558,876.4773017083298,0.499228929377,1.9181801835,25,S,0.825,0.35,71114,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.0434412562159058,1191.84930606171,6030.37041009926,24221210.530018117,0.0,39.44147857687484,0.0,10,10,0.0,0.0,1763.3392465876993,17.4,17.52675863216444,17.4,174,17.4,0.0056,Navigant,0.0434412562159058,0.0434412562159058,0.0,0.0,0.0,0.0,1191.84930606171,6030.37041009926,24221210.530018117
309,16662,308,5,2016,CA,PAC,IOU,p9,29,23,14.719040173188679,0.0,0.0,0.0,3578.0685638876057,281.648970526807,4411.0,4810.81815342599,4716.48838571176,24244862.771283,23769473.3051794,5039.65479427178,1000.0,0.593,1568.4612055200328,1359.9054893409716,0.867031638752,3.33138327941,25,SE,0.825,0.35,70195,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.05790210458337864,273.0946037757729,1309.634250337329,5328615.8046463905,0.0,61.19574702034372,0.0,10,10,0.0,0.0,3102.298650514486,20.6,19.873816833128604,20.6,206,20.6,0.0034,Navigant,0.05790210458337864,0.05790210458337864,0.0,0.0,0.0,0.0,273.0946037757729,1309.634250337329,5328615.8046463905
310,14935,287,9,2016,CA,PAC,IOU,p9,22,243,15.64870118157309,0.0,0.0,0.0,3608.040189053601,284.0081979206628,7609.0,325.866250073873,319.476715758699,1607782.61671402,1576257.46736668,4933.872766355939,1000.0,0.593,1499.999520689677,1331.3611611469319,0.887574391047,3.41031440308,25,SW,0.825,0.35,44846,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.0435468328620377,13.9121991444568,70.3912093864965,288805.5394260355,0.0,59.91125225161194,0.0,10,10,0.0,0.0,3202.4040736723523,20.6,20.95495110672049,20.6,206,20.6,0.0034,Navigant,0.0435468328620377,0.0435468328620377,0.0,0.0,0.0,0.0,13.9121991444568,70.3912093864965,288805.5394260355
311,14924,287,7,2016,CA,PAC,IOU,p9,22,243,15.64870118157309,0.0,0.0,0.0,3608.040189053601,284.0081979206628,6414.0,892.164078467218,874.670665163939,3710513.79364819,3637758.62122371,4159.003801210013,1000.0,0.603,1499.2860917823382,1094.695549520357,0.730144537137,2.80542392441,25,SE,0.825,0.35,46366,14.872099940511603,20,1000.0,host_owned,payback_period,residential,15,0.06,0.2,0.1,0.33,0,0.05057333788277505,44.2350150854875,197.11805558998256,808748.5194734713,0.0,49.26129972841606,0.0,10,10,0.0,0.0,2634.3908338082356,20.6,20.964922431041675,20.6,206,20.6,0.0034,Navigant,0.05057333788277505,0.05057333788277505,0.0,0.0,0.0,0.0,44.2350150854875,197.11805558998256,808748.5194734713
